Number of Shares Authorized,"10,000,000,000 shares"
Number of Shares Issued,"Common shares: 3,262,997,492 shares"
Number of Shareholders,"534,315"
Stock Listings,"Japan: Tokyo, Nagoya"
Stock Listings,"Overseas: New York, London Securities"
Code,Japan: 7203
American Depositary Receipts (ADRs),Ratio: 1 ADR=2 common shares
American Depositary Receipts (ADRs),Symbol: TM
Transfer Agent in Japan,Mitsubishi UFJ Trust and Banking Corporation
Transfer Agent in Japan,"1-1, Nikko-cho, Fuchu City, Tokyo 183-0044, Japan"
Transfer Agent in Japan,Japan toll-free: (0120) 232-711
Depository and Transfer Agent for ADRs,The Bank of New York Mellon
Depository and Transfer Agent for ADRs,"240 Greenwich Street, New York, NY 10286, U.S.A."
(Note) Toyota implemented a five-for-one stock split,"with September 30 and October 1,2021 defined as the record date and the effective date,respectively.,"
