,2018,2019,2020
1Purchased goodsandservices,63.29,65.10,54.40
2 Capital goods,4.54,4.23,3.93
3Fuel-andenergy-relatedactivities(not includedinScopes1or2),0.93,0.96,0.84
4Upstreamtransportationanddistribution,0.89,0.91,0.79
5Waste generated inoperations,0.12,0.09,0.08
6Businesstravel,0.15,0.17,0.05
7Employeecommuting,0.64,0.68,0.74
8Upstream leasedassets,二,二,一
9Downstreamtransportationanddistribution,0.01,0.01,0.01
10Processing of sold products,1.17,1.24,0.77
11Use of sold products,339.25,320.50,276.21
12End-of-life treatment ofsoldproducts,3.84,3.96,3.46
13Downstream leasedassets,二,二,二
14Franchises,1,1,1
15Investments,0.08,0.09,0.07
Total,414.91,397.94,341.35
