Name,"Common shares (1,000 shares)",Percentage of Shareholding (%)
"The Master Trust Bank of Japan, Ltd.","324,364",11.71
"Custody Bank of Japan, Ltd.","249,314",9.00
Toyota Industries Corporation,"238,466",8.61
Nippon Life Insurance Company,"126,775",4.58
"JP Morgan Chase Bank, N.A. (Standing Proxy: Settement & Clearing Services Division, Mizuho Bank,Ltd.)","107,607",3.88
DENSO Corporation,"89,915",3.25
"State Street Bank and Trust Company (Standing Proxy: Settlement & Clearing Services Division,Mizuho Bank, Ltd.)","73,812",2.66
"Mitsui Sumitomo Insurance Company, Limited","56,814",2.05
The Bank of New York Melon as Depositary_ Bank for Depositary Receipt Holders (Standing Proxy: Sumitomo Mitsui Banking Corporation),"56,465",2.04
"Tokio Marine & Nichido Fire Insurance Co., Ltd.","51,064",1.84
