Name (executive category),Company category,Totalco,nsolidatedremunerationby,nsolidatedremunerationby,ype(milli,onyen),
Name (executive category),Company category,Fixedremunera-tion,Performance-linkedremuneration,Performance-linkedremuneration,Other,Retirementbenefits,
Name (executive category),Company category,Fixedremunera-tion,Performance-linkedremuneration,Performance-linkedremuneration,Other,Retirementbenefits,Totalconsolidatedremuneration(million yen)
Name (executive category),Company category,Monthlyremuneration,Bonuses,Share-basedcompensation,Other,Retirementbenefits,Totalconsolidatedremuneration(million yen)
Takeshi Uchiyamada(Director),Reporting company,110,61,"50 (5,000 shares)",1,,222
Shigeru Hayakawa(Director),Reporting company,66,41,33 (3.000 shares),1,1,140
Akio Toyoda (Director),Reporting company,185,25,"231(23,000 shares)",1,,442
Koji Kobayashi (Director),Reporting company,69,12,"49 (4,000 shares)",一,,134
Koji Kobayashi (Director),"Consolidated subsidiaryDaihatsuMotorCo.,Ltd.",3,1,,1,,134
Didier Leroy (Director),Reporting company,57,515,,747,,"1,451"
Didier Leroy (Director),Consolidated subsidiary ToyotaMotor Europe,26,104,,1,,"1,451"
Shigeki Terashi (Director),Reporting company,63,63,,,,138
Shigeki Terashi (Director),"Consolidated subsidiary HinoMotors,Ltd.",12,-,,一,,138
James Kuffner (Director),Reporting company,23,28,,,,284
James Kuffner (Director),"Consolidated subsidiary WovenPlanet Holdings, Inc.",232,1,,,,284
