Fiscal years ended March 31,Fiscal years ended March 31,,2013,2014,,U.S. GAAP 2015,2016,2017,2018,2019,2020,? 2020,IFRS 2021
U.S. GAAP ..·,IFRS,,2012,,,,,,,,,,
Consolidated Vehicle Sales,Consolidated Vehicle Sales,(thousands of units),"7,352",8.871,"9,116",8.972,"8,681","8,971","8,964",8.977,"8,958","8,955","7,646"
Foreign Yen to U.S. Dollar Rate Exchange Rates,Foreign Yen to U.S. Dollar Rate Exchange Rates,,79,83,100,110,120,108,111,111,109,109,106
(Average) Yen to Euro Rate,(Average) Yen to Euro Rate,,109,107,134,139,133,119,130,128,121,121,124
Net Revenues,Sales Revenues,(billions of yen),"18,583.6","22,064.1","25,691.9","27,234.5","28,403.1","27,597.1","29,379.5","30,225.6","29,929.9","29,866.5","27,214.5"
Operating Income (Loss) Income (Loss) before,Operating Income (Loss) Income (Loss) before,(billions of yen),355.6,"1,320.8","2,292.1","2,750.5","2,853.9","1,994.3","2,399.8","2,467.5","2,442.8","2,399.2","2,197.7"
Income Taxes,Income Taxes,(billions of yen) Net Income (Loss) Attributable,432.8,"1,403.6","2,441.0","2,892.8","2,983.3","2,193.8","2,620.4","2,285.4","2,554.6","2,792.9",2.932.3
Net Income (Loss)*1 Cash Dividends,Net Income (Loss)*1 Cash Dividends,(billions of yen),283.5,962.1,"1,823.1","2,173.3",2.312.6,"1,831.1","2,493.9","1,882.8","2,076.1",2.036.1,"2,245.2"
Common,Common,(blions of yen),157.7,285.0,522.9,631.3,645.5,627.5,642.6,626.8,610.8,610.8,671.0
Cash Dividends per Share Shares,Cash Dividends per Share Shares,(yen),50,90,165,200,210,210,220,220,220,220,240
Payout Ratio,Payout Ratio,(%),55.6,29.6,28.7,29.0,28.3,34.6,26.1,33.8,29.9,30.2,29.8
Value of Shares Repurchased [shareholder return *2,Value of Shares Repurchased [shareholder return *2,(illions of yen),,,180.0,293.3,639.3,449.9,549.9,549.9,199.9,199.9,249.9
R&D Expenses,R&D Expenses,(illions of yen),779.8,807.4,910.5,"1,004.5","1,055.6","1,037.5","1,064.2","1,048.8","1,110.3","1,110.3","1,090.4"
Depreciation Expenses*3,Depreciation Expenses*3,(bilions of yen),732.9,727.3,775.9,806.2,885.1,893.2,964.4,984.8,812.8,803.3*5,876.9
Capital Expenditures*3,Capital Expenditures*3,(illions of yen),706.7,852.7,"1,000.7","1,177.4","1,292.5","1,211.8","1,302.7","1,465.8","1,393.0","1,372.3","1,293.2"
Total Liquid Assets*4,Total Liquid Assets*4,(billions of yen),"4,968.1","5,883.1","7,661.9","8,508.2","9,229.9","9,199.5","9,372.1","9,454.4","8,685.1","8,602.6","11,579.4"
Total Assets,Total Assets,(billions of yen),"30,650.9","35,483.3","41,437.4","47,729.8","47,427.5","48,750.1","50,308.2","51,936.9","52,680.4","53,972.3","62,267.1"
Toyota Motor Corporation Shareholders' Equity,Toyota Motor Corporation Shareholders' Equity,Toyota Motor Corporation Shareholders' Equity,"(billions of yen) 10,550.2","12,148.0","14,469.1","16,788.1","16,746.9","17,514.8","18,735.9","19,348.1","20,060.6","20,618.8","23,404.5"
Return on Equity,Return on Equity,Return on Equity (ROE),(%),2.7,8.5,13.7,13.9,13.8,10.6 13.7,9.8,10.4,10.0,10.2
Return on Assets,Return on Assets,Return on Assets (ROA),(%),0.9,2.9,4.7,4.9 4.9,3.8,5.0,3.7,4.0,3.8,3.9
