,,-2010,2011-2015,2011-2015,2011-2015,2011-2015,,,2016-2021,2016-2021,,,
Numberof Directors (total),Numberof Directors (total),27,2011-2016:between11and16(temporarlyincreasedduetotheintroductionofOutsideDirectors),2011-2016:between11and16(temporarlyincreasedduetotheintroductionofOutsideDirectors),2011-2016:between11and16(temporarlyincreasedduetotheintroductionofOutsideDirectors),2011-2016:between11and16(temporarlyincreasedduetotheintroductionofOutsideDirectors),2011-2016:between11and16(temporarlyincreasedduetotheintroductionofOutsideDirectors),2017:9,2017:9,2017:9,,,
Outside Directors,Outside Directors,2013:3,2013:3,2013:3,2013:3,2013:3,2013:3,,,,,,
Executive Vice Presidents,Executive Vice Presidents,,2011-2020: between 4 and 7,2011-2020: between 4 and 7,2011-2020: between 4 and 7,2011-2020: between 4 and 7,,,,,,,
Senior Managing/Managing Officers,Senior Managing/Managing Officers,64,2011-2018: between 42 and 49,2011-2018: between 42 and 49,2011-2018: between 42 and 49,2011-2018: between 42 and 49,,,,,,,
Operating Officers,Operating Officers,,,,,,,,,,June 2021: 11,,
Advisors/Senior Advisors,Advisors/Senior Advisors,,2011-2017: between 55 and 68,2011-2017: between 55 and 68,2011-2017: between 55 and 68,2011-2017: between 55 and 68,,,"2018:9 due to organizationalchanges,July2020:0","2018:9 due to organizationalchanges,July2020:0",,,
Region,Region,2013: Restructuring of groups,2013: Restructuring of groups,2013: Restructuring of groups,2013: Restructuring of groups,2013: Restructuring of groups,2013: Restructuring of groups,2013: Restructuring of groups,2013: Restructuring of groups,2013: Restructuring of groups,,,
gCompany,gCompany,,,,,,2016: Introduction (from function-based to product-based),2016: Introduction (from function-based to product-based),2016: Introduction (from function-based to product-based),2016: Introduction (from function-based to product-based),,,
Audit&SupervisoryBoardMembers(total),Audit&SupervisoryBoardMembers(total),7,7,7,2014:6,2014:6,,,,,,,
OutsideAudit&SupervisoryBoardMembers,OutsideAudit&SupervisoryBoardMembers,4,4,4,2014:3,2014:3,2014:3,2014:3,2014:3,2014:3,2014:3,,
ExecutiveAppointment,ExecutiveAppointment,,,,2017: Outside Membersaccounting forhalf,2017: Outside Membersaccounting forhalf,2017: Outside Membersaccounting forhalf,2017: Outside Membersaccounting forhalf,2017: Outside Membersaccounting forhalf,2019: Outside Membersaccounting foramajority,2019: Outside Membersaccounting foramajority,,
Sustainability,Sustainability,2007-2014: CSRCommitte,2007-2014: CSRCommitte,,2014: Corporate Governance Meeting 2018: Sustainability Meeting,2014: Corporate Governance Meeting 2018: Sustainability Meeting,2014: Corporate Governance Meeting 2018: Sustainability Meeting,2014: Corporate Governance Meeting 2018: Sustainability Meeting,2014: Corporate Governance Meeting 2018: Sustainability Meeting,2014: Corporate Governance Meeting 2018: Sustainability Meeting,2014: Corporate Governance Meeting 2018: Sustainability Meeting,,
,"·Reduced the number of Members of the Board of Directors from 27to 11 members (currently 9 members) April 2017·Reduced decision making layers (discontinuing the positions ofexecutives responsible for the operations involved and introduced the October 2017two-tiered arrangement of Executive Vice President and Chief Officer)April 2011·Made flexible assignment of Senior Managing Officer or ManagingOfficertoChiefOffcerpost (abolitionofSeniorManagingDirector·Established the role of Executive General Manager January 2018Stationingof,inprcipleegioalchefoffcersirespective regions·Established business unitsApril 2013 ·Reorganized regional groups·Appointed Outside Board Members January 2019·Changed the roles of officersApril 2015 ·Enhancementofdiversity (appointing non-Japaneseexecutivesand January 2020female executives)April 2020April 2016 ·Established in-house companies,shiftfrom functional toproduct-based focus July 2020","·Reduced the number of Members of the Board of Directors from 27to 11 members (currently 9 members) April 2017·Reduced decision making layers (discontinuing the positions ofexecutives responsible for the operations involved and introduced the October 2017two-tiered arrangement of Executive Vice President and Chief Officer)April 2011·Made flexible assignment of Senior Managing Officer or ManagingOfficertoChiefOffcerpost (abolitionofSeniorManagingDirector·Established the role of Executive General Manager January 2018Stationingof,inprcipleegioalchefoffcersirespective regions·Established business unitsApril 2013 ·Reorganized regional groups·Appointed Outside Board Members January 2019·Changed the roles of officersApril 2015 ·Enhancementofdiversity (appointing non-Japaneseexecutivesand January 2020female executives)April 2020April 2016 ·Established in-house companies,shiftfrom functional toproduct-based focus July 2020","·Reduced the number of Members of the Board of Directors from 27to 11 members (currently 9 members) April 2017·Reduced decision making layers (discontinuing the positions ofexecutives responsible for the operations involved and introduced the October 2017two-tiered arrangement of Executive Vice President and Chief Officer)April 2011·Made flexible assignment of Senior Managing Officer or ManagingOfficertoChiefOffcerpost (abolitionofSeniorManagingDirector·Established the role of Executive General Manager January 2018Stationingof,inprcipleegioalchefoffcersirespective regions·Established business unitsApril 2013 ·Reorganized regional groups·Appointed Outside Board Members January 2019·Changed the roles of officersApril 2015 ·Enhancementofdiversity (appointing non-Japaneseexecutivesand January 2020female executives)April 2020April 2016 ·Established in-house companies,shiftfrom functional toproduct-based focus July 2020","·Reduced the number of Members of the Board of Directors from 27to 11 members (currently 9 members) April 2017·Reduced decision making layers (discontinuing the positions ofexecutives responsible for the operations involved and introduced the October 2017two-tiered arrangement of Executive Vice President and Chief Officer)April 2011·Made flexible assignment of Senior Managing Officer or ManagingOfficertoChiefOffcerpost (abolitionofSeniorManagingDirector·Established the role of Executive General Manager January 2018Stationingof,inprcipleegioalchefoffcersirespective regions·Established business unitsApril 2013 ·Reorganized regional groups·Appointed Outside Board Members January 2019·Changed the roles of officersApril 2015 ·Enhancementofdiversity (appointing non-Japaneseexecutivesand January 2020female executives)April 2020April 2016 ·Established in-house companies,shiftfrom functional toproduct-based focus July 2020","·Reduced the number of Members of the Board of Directors from 27to 11 members (currently 9 members) April 2017·Reduced decision making layers (discontinuing the positions ofexecutives responsible for the operations involved and introduced the October 2017two-tiered arrangement of Executive Vice President and Chief Officer)April 2011·Made flexible assignment of Senior Managing Officer or ManagingOfficertoChiefOffcerpost (abolitionofSeniorManagingDirector·Established the role of Executive General Manager January 2018Stationingof,inprcipleegioalchefoffcersirespective regions·Established business unitsApril 2013 ·Reorganized regional groups·Appointed Outside Board Members January 2019·Changed the roles of officersApril 2015 ·Enhancementofdiversity (appointing non-Japaneseexecutivesand January 2020female executives)April 2020April 2016 ·Established in-house companies,shiftfrom functional toproduct-based focus July 2020","·Reduced the number of Members of the Board of Directors from 27to 11 members (currently 9 members) April 2017·Reduced decision making layers (discontinuing the positions ofexecutives responsible for the operations involved and introduced the October 2017two-tiered arrangement of Executive Vice President and Chief Officer)April 2011·Made flexible assignment of Senior Managing Officer or ManagingOfficertoChiefOffcerpost (abolitionofSeniorManagingDirector·Established the role of Executive General Manager January 2018Stationingof,inprcipleegioalchefoffcersirespective regions·Established business unitsApril 2013 ·Reorganized regional groups·Appointed Outside Board Members January 2019·Changed the roles of officersApril 2015 ·Enhancementofdiversity (appointing non-Japaneseexecutivesand January 2020female executives)April 2020April 2016 ·Established in-house companies,shiftfrom functional toproduct-based focus July 2020",,,,,,,
