Number of Shares Authorized,"10,000,000,000 shares"
Number of Shares Issued,"Common shares:3,262,997,492 shares"
Number of Shareholders,"534,315"
Stock Listings,"Japan: Tokyo,Nagoya"
,"Overseas:New York, London Securities"
Code,Japan: 7203
American Depositary Receipts (ADRs),Ratio:1 ADR=2 common sharesSymbol: TM
Transfer Agent in Japan,"Mitsubishi UFJ Trust and Banking Corporation 1-1, Nikko-cho,Fuchu City，Tokyo 183-0044,Japan"
,Japan toll-free: (0120) 232-711
Depository and Transfer Agent for ADRs The Bank of New York Mellon,
"240 Greenwich Street, New York,NY 10286,U.S.A. (Note)Toyotaimplementedfivefoestockspltiteptember3adOctober2defidasterecddateadtetie","240 Greenwich Street, New York,NY 10286,U.S.A. (Note)Toyotaimplementedfivefoestockspltiteptember3adOctober2defidasterecddateadtetie"
