Name,"Common shares (1,000 shares)",Percentage of Shareholding (%)
The Master Trust Bank of Japan, Ltd.,"324364,11.71"
Custody Bank of Japan, Ltd.,"249314,9.00"
Toyota Industries Corporation,238466,8.61
Nippon Life Insurance Company,126775,4.58
JP Morgan Chase Bank, N.A. (Standing Proxy: Settlement & Clearing Services Division,"Mizuho Bank,Ltd.),107607,3.88"
DENSO Corporation,89915,3.25
State Street Bank and Trust Company (Standing Proxy: Settlement & Clearing Services Division, Mizuho Bank,"Ltd.),73812,2.66"
Mitsui Sumitomo Insurance Company, Limited,"56814,2.05"
The Bank of New York Mellon as Depositary Bank for Depositary Receipt Holders (Standing Proxy: Sumitomo Mitsui Banking Corporation),56465,2.04
Tokio Marine & Nichido Fire Insurance Co., Ltd.,"51064,1.84"
