Jurisdiction,Type of Law,Citation,Link
Australia,Statute,Income Tax Assessment Act 1936 (Cth),https://perma.cc/9FNH-VTKS
Australia,Statute,Income Tax Assessment Act 1997 (Cth),https://perma.cc/X47H-W4L8
Brazil,Statute,"Lei No. 6.404, de 15 de Dezembro de 1976",https://perma.cc/JHH9-KPP8
Brazil,Statute,"Lei No. 8.668, de 25 de Junho de 1993",https://perma.cc/5S5G-99H7
Brazil,Statute,"Lei No. 8.981, de 20 de Janeiro de 1995, as amended by Lei No. 13.259, de 16 de Março de 2016",https://perma.cc/5Z8Q-NYNM
Brazil,Statute,"Lei No. 9.249, de 26 de Dezembro de 1995",https://perma.cc/HHB4-HYF7
Brazil,Statute,"Lei No. 11.033, de 21 de Dezembro de 2004",https://perma.cc/FGK5-JH4W
Brazil,Statute,"Lei No. 13.043, de 13 de Novembro de 2014",https://perma.cc/BD3Q-6D3F
Brazil,Statute,"Lei No. 13.259, de 16 de Março de 2016",https://perma.cc/2P3N-CMRR
Brazil,Legislative Decree,"Decreto-Lei No. 288, de 28 de Fevereiro de 1967",https://perma.cc/AQ5L-T48R
Brazil,Legislative Decree,"Decreto-Lei No. 1.598, de 26 de Dezembro de 1977",https://perma.cc/H5BC-WVTV
Brazil,Decree,"Decreto No. 9.580, de 22 de Novembro de 2018, art. 2",https://perma.cc/T29L-HXKB
Brazil,Resolution,"Resolução BCB No. 278, de 31 de Dezembro de 2022",https://perma.cc/T2VT-8NHM
