Jurisdiction,Type of Law,Citation,Link
Australia,Statute,Income Tax Assessment Act 1936 (Cth),https://perma.cc/9FNH-VTKS
Australia,Statute,Income Tax Assessment Act 1997 (Cth),https://perma.cc/X47H-W4L8
Brazil,Statute,"Lei No. 6.404, de15 de Dezembro de 1976",https:// perma.cc/JHH9-KPP8
Brazil,Statute,"Lei No. 8.668, de 25 de Junho de 1993",https://perma.cc/5S5G-99H7
Brazil,Statute,"Lei No. 8.981, de 20 de Janeiro de 1995, as amended by LeiNo. 13.259,de 16 de Marco de 2016",https://perma.cc/5Z8Q-NYNM
Brazil,Statute,"Lei No. 9.249, de 26 de Dezembro de 1995",https://perma.cc/HHB4-HYF7
Brazil,Statute,"Lei No.11.033, de 21 de Dezembro de 2004",https:// perma.cc/FGK5-JH4W
Brazil,Statute,"Lei No. 13.043, de 13 de Novembro de 2014",https://perma.cc/BD3Q-6D3F
Brazil,Statute,"Lei No. 13.259, de 16 de Margo de 2016",https://perma.cc/2P3N-CMRR
Brazil,LegislativeDecree,"Decreto-Lei No. 288, de 28 de Fevereiro de 1967",https:// perma.cc/AQ5L-T48R
Brazil,LegislativeDecree,"Decreto-Lei No.1.598, de 26 de Dezembro de 1977",https://perma.cc/H5BC-WVTV
Brazil,Decree,"Decreto No. 9.580, de 22 de Novembro de 2018,art. 2",https://perma.cc/T29L-HXKB
Brazil,Resolution,"Resolucao BCB No. 278, de 31 de Dezembro de 2022",https:// perma.cc/T2VT-8NHM
Canada,Statute,"Income Tax Act, R.S.C.,1985, c. 1 (5th Supp.)",https:/ /perma.cc/JU6G-3GEM
China,Statute,Enterprise Income Tax Law,https://perma.cc/JRR8-P9WS
China,Statute,Individual Income Tax Law,https://perma.cc/3XBT-F27X
China,Statute,Law on Hainan Free Trade Port,https://perma.cc/T2NE-TANA
Egypt,Statute,"Law No. 83 of 2002, al-Jaridah al-Rasmiyah, vol. 22 bis,June 5, 2002",https://perma.cc/D6YL-Q3MF
Egypt,Statute,"Law No. 91 of 2005, al-Jaridah al-Rasmiyah, vol. 23(annex), June 9, 2005",https://perma.cc/SYA-T83V
Egypt,Statute,"Law No. 67 of 2016, al-Jaridah al-Rasmiyah, vol. 35Duplicate (C), Sept. 7, 2016",https://perma.cc/U7TY-998S
Egypt,Statute,"Law No. 72 of 2017, al-Jaridah al-Rasmiyah, vol. 21(duplicate) (c), May 31,2017",https://perma.cc/33DS-S9AR
