Taxable income in euros (€) Rates,Taxable income in euros (€) Rates,Taxable income in euros (€) Rates
,Normal (A),Average (B)
"Up to 7,479 (approx. US$8,192)",14.50%,14.500%
"From more than 7,479 up to 11,284 (approx. US$12,360)",21.00%,16.692%
"From more than 11,284 up to 15,992 (approx. US$17,516)",26.50%,19.579%
"From more than 15,992 up to 20,700 (approx. US$22,673)",28.50%,21.608%
"From more than 20,700 up to 26,355 (approx. US$28,867)",35.00%,24.482%
"From more than 26,355 up to 38,632 (approx. US$42,314)",37.00%,28.460%
"From more than 38,632 up to 50,483 (approx. US$55,295)",43.50%,31.991%
"From more than 50,483 up to 78,834 (approx. US$86,348)",45.00%,36.669%
"Over 78,834",,48.000%14
