(as at 31 December 2021) Non-voting,(as at 31 December 2021) Non-voting,(as at 31 December 2021) Non-voting,(as at 31 December 2021) Non-voting,(as at 31 December 2021) Non-voting,(as at 31 December 2020),(as at 31 December 2020),(as at 31 December 2020),(as at 31 December 2020),
,Shares (number),equity securities (NES) (number),Closerelatives' security holdings (number/type),Others (number/,Shares,Non-voting equity securities (NES）,Close relatives' security holdings,Others (number/,
Board of Directors,,,,type),(number),(number),(number/type),type),
C. Franz,"27,951","4,810",,-,"23,210","4,810",,,
A. Hoffmann,1*,200,-,-,*,200,,1,
J.Brown,"1,000",-,-,-,729,1,、,二,
P. Bulcke,-,"4,000",-,-,-,"4,000",1,1,
H. Clevers,-,750,-,-,-,750,1,1,
J. Duschmalé,-*,-,-,-,*,1,1,1,
P. Frost,"2,000",-,-,-,"1,000",1,1,1,
A. Hauser,"3,000",150,20 NES,-,"3,000",150,20NES,1,
R.P. Lifton,-,-,,300 ADRs***,1,1,1,300 ADRs***,
B. Poussot,500,500,,一,500,500,=,,
S.Schwan,,,(see‘5.15 Security holdings',,,,(see‘5.15 Security holdings',,
,Corporate Executive Committee on page 187),Corporate Executive Committee on page 187),Corporate Executive Committee on page 187),Corporate Executive Committee on page 187),Corporate Executive Committee on page 187),Corporate Executive Committee on page 187),Corporate Executive Committee on page 187),Corporate Executive Committee on page 187),Corporate Executive Committee on page 187)
C.Suessmuth Dyckerhoff,-,"2,100**",,-,1,"2,100**",一,,
Total,"34,451","12,510",20 NES,300 ADRs***,"28,439","12,510",20 NES,300 ADRs***,
