Name (year of birth),Position,Since,Corporate Executive Committee,Enlarged Corporate Executive Committee,Secretary to the Corporate Executive Committee,Statutory Auditors of Roche Holding Ltd,Chief Compliance Officer
Dr Severin Schwan (1967)," ""CEO Roche Group"""," ""2008"""," """""," """""," """""," """""," """""
Bill Anderson (1966)," ""CEO Roche Pharmaceuticals"""," ""2019"""," """""," """""," """""," """""," """""
Dr Thomas Schinecker (1975)," ""CEO Roche Diagnostics"""," ""2019"""," """""," """""," """""," """""," """""
Dr Alan Hippe (1967)," ""Chief Financial and Information Officer"""," ""2011"""," """""," """""," """""," """""," """""
Cristina A. Wilbur (1967)," ""Chief People Officer"""," ""2016"""," """""," """""," """""," """""," """""
Dr Aviv Regev (1971)," ""Head Genentech Research & Early Development (gRED)"""," ""2020"""," """""," """""," """""," """""," """""
Dr William Pao (1967)," ""Head Roche Pharma Research & Early Development (pRED)"""," ""2018"""," """""," """""," """""," """""," """""
Dr James H. Sabry (1958)," ""Global Head Pharma Partnering"""," ""2018"""," """""," """""," """""," """""," """""
Barbara Schädler (1962)," ""Head Group Communications"""," ""2019"""," """""," """""," """""," """""," """""
Claudia Böckstiegel (1964)," ""General Counsel"""," ""2020"""," """""," """""," """""," """""," """""
Per-Olof Attinger (1960)," """""," ""2010"""," """""," """""," """""," """""," """""
KPMG Klynveld Peat Marwick Goerdeler SA (reporting years 2004-2008)," """""," """""," """""," """""," """""," """""," """""
KPMG AG (since 2009)," """""," """""," """""," """""," """""," """""," """""
John A. Morris (2004-2010)," """""," """""," """""," """""," """""," """""," """""
Ian Starkey (2011-2017)," """""," """""," """""," """""," """""," """""," """""
Mark Baillache (as of business year 2018)," """""," """""," """""," """""," """""," """""," """""
Pascale Schmidt (1973)," """""," ""2020"""," """""," """""," """""," """""," """""
