Additionalremuneration Additional specialBasic remuneration forcommitee members/chairs14 remuneration Total remuneration,Additionalremuneration Additional specialBasic remuneration forcommitee members/chairs14 remuneration Total remuneration,Additionalremuneration Additional specialBasic remuneration forcommitee members/chairs14 remuneration Total remuneration,Additionalremuneration Additional specialBasic remuneration forcommitee members/chairs14 remuneration Total remuneration,Additionalremuneration Additional specialBasic remuneration forcommitee members/chairs14 remuneration Total remuneration
"C. Franz, Chairman",,"(see'4.3 Totalremuneration paid tothe Chairmanof the Boardof Directors"")","(see'4.3 Totalremuneration paid tothe Chairmanof the Boardof Directors"")",the Board of Directors')
"A. Hoffmann, Vice-Chairman","400,00015",1,"37,568","437,568"
J. Brown,"300,000","60,000",1,360.000
P. Bulcke,"300,000","30,000",1,"330,000"
H. Clevers,"300,000",30.000,"24,756","354,756"
J. Duschmalé (since March 202016),"250,000","22,500",1,"272,500"
P.Frost (since March 202016),"250,000","22,500",,"272,500"
A. Hauser,"300,000",30.000,1,"330,000"
R.P. Lifton,"300,000",30.000,"9,392","339,392"
B.Poussot,"300,000",30.000,二,330.000
S.Schwan,"(see‘5.3 Highest total remunerationpaid to Dr Severin Schwan as a memberof the Corporate ExecutiveCommittee', remuneration received in his primary functionas CEO Roche Group is reflected in totalremuneration for the Corporate Executive Committee)","(see‘5.3 Highest total remunerationpaid to Dr Severin Schwan as a memberof the Corporate ExecutiveCommittee', remuneration received in his primary functionas CEO Roche Group is reflected in totalremuneration for the Corporate Executive Committee)","(see‘5.3 Highest total remunerationpaid to Dr Severin Schwan as a memberof the Corporate ExecutiveCommittee', remuneration received in his primary functionas CEO Roche Group is reflected in totalremuneration for the Corporate Executive Committee)","(see‘5.3 Highest total remunerationpaid to Dr Severin Schwan as a memberof the Corporate ExecutiveCommittee', remuneration received in his primary functionas CEO Roche Group is reflected in totalremuneration for the Corporate Executive Committee)"
C.Suessmuth Dyckerhoff,"300,000","30,000",,"330,000"
J. Bell (until March 202017),"75,000",1,,75.000
A. Oeri (until March 202017),"75,000","15,000",=,90.000
Total18,"3,150,000","300,000","71,716","3,521,716"
