Composition as at 31.12.2021 Name (year of birth) First elected,Composition as at 31.12.2021 Name (year of birth) First elected,Composition as at 31.12.2021 Name (year of birth) First elected,Composition as at 31.12.2021 Name (year of birth) First elected,Composition as at 31.12.2021 Name (year of birth) First elected
Board of Directors,Dr Christoph Franz(1960),"C,D*,E,G",Chairman,2011
Board of Directors,André Hoffmann (1958)(representative of the shareholder group with pooled votingrights),"A*, C*,D,E,G",Vice-Chairman,1996
Board of Directors,Dr Jorg Duschmalé (1984)(representative of the shareholder group with pooled voting rights),"B,E,G",,2020
Board of Directors,Julie Brown (1962),"B*，E,G",,2016
Board of Directors,Paul Bulcke (1954),"B,E,G",,2011
Board of Directors,Prof. Dr Hans Clevers (1957),"A,E,G",,2019
Board of Directors,Dr Patrick Frost (1968),"B,E,G",,2020
Board of Directors,Anita Hauser (1969),"A,E,G",,2017
Board of Directors,Prof. Dr Richard P. Lifton (1953),"C,E,G",,2015
Board of Directors,Bernard Poussot (1952),"C,E,G",,2015
Board of Directors,Dr Severin Schwan (1967),F,,2013
Board of Directors,Dr Claudia Suessmuth Dyckerhoff (1967),"A,E,G",,2016
Secretary to the Board of Directors,Dr Annette Luther (1970),,,
