Top-selling pharmaceuticals in 2021 Ocrevus Neuroscience,,CHF millions,
Top-selling pharmaceuticals in 2021 Ocrevus Neuroscience,,"5,055",+19%
Perjeta Oncology,,"3,955",+4%
Perjeta Oncology,,,
Perjeta Oncology,Actemra/RoActemra Immunology,"3,562",+27%
Tecentriq Oncology Avastin Oncology,,"3,315",+24%
Tecentriq Oncology Avastin Oncology,,,
Tecentriq Oncology Avastin Oncology,,"3,056",-37%
Tecentriq Oncology Avastin Oncology,,"3,022",+41%
Haemophilia Herceptin Oncology,,"2,694",-28%
Haemophilia Herceptin Oncology,,,
MabThera/Rituxan Oncology/lmmunology Kadcyla,,"2,565",-38%
MabThera/Rituxan Oncology/lmmunology Kadcyla,,"1,982",+16%
Oncology Xolair Immunology,,,
Oncology Xolair Immunology,,"1,942",+5%
