Composition as at 31.12.2021 Name (year of birth) Position Since,Composition as at 31.12.2021 Name (year of birth) Position Since,Composition as at 31.12.2021 Name (year of birth) Position Since,Composition as at 31.12.2021 Name (year of birth) Position Since
Corporate Executive Committee,Dr Severin Schwan (1967),CEO Roche Group,2008
Corporate Executive Committee,Bill Anderson (1966),CEO Roche Pharmaceuticals,2019
Corporate Executive Committee,Dr Thomas Schinecker (1975),CEO Roche Diagnostics,2019
Corporate Executive Committee,Dr Alan Hippe(1967),Chief Financial and Information Officer,2011
Corporate Executive Committee,Cristina A. Wilbur (1967),Chief People Officer,2016
Enlarged CorporateExecutive Committee,Dr Aviv Regev (1971),Head Genentech Research &Early Development (gRED),2020
Enlarged CorporateExecutive Committee,Dr William Pao (1967),Head Roche Pharma Research &Early Development (pRED),2018
Enlarged CorporateExecutive Committee,Dr James H.Sabry(1958),Global Head Pharma Partnering,2018
Enlarged CorporateExecutive Committee,Barbara Schadler(1962),Head Group Communications,2019
Enlarged CorporateExecutive Committee,Claudia Bockstiegel (1964),General Counsel,2020
Secretary to the CorporateExecutive Committee,Per-Olof Attinger (1960),Per-Olof Attinger (1960),2010
Statutory Auditorsof Roche Holding Ltd,KPMG Klynveld Peat Marwick Goerdeler SA(reporting years 2004-2008)KPMG AG (since 2009)Auditor in charge: John A. Morris (2004-2010)lan Starkey (2011-2017) Mark Baillache (as of business year 2018),KPMG Klynveld Peat Marwick Goerdeler SA(reporting years 2004-2008)KPMG AG (since 2009)Auditor in charge: John A. Morris (2004-2010)lan Starkey (2011-2017) Mark Baillache (as of business year 2018),
Chief Compliance Officer,Pascale Schmidt (1973),Pascale Schmidt (1973),2020
