,Basic remuneration,Additionalremuneration for commite members/chairs11,Additional special remuneration,Additional BVG costs*,Total remuneration
"C.Franz, Chairman",,(see‘4.3 Total remuneration paid to the Chairman of the Board of Directors'),(see‘4.3 Total remuneration paid to the Chairman of the Board of Directors'),(see‘4.3 Total remuneration paid to the Chairman of the Board of Directors'),(see‘4.3 Total remuneration paid to the Chairman of the Board of Directors')
"A.Hoffmann, Vice-Chairman","400,00012",一,"18,277 see page 173","6,904","425,181"
J. Brown,"300,000","60,000",,,"360,000"
P. Bulcke,"300,000",30.000,,1,"330,000"
H. Clevers,"300,000","30,000","20,105",-,"350,105"
,,,see page 173,,
J. Duschmalé,"300,000","30,000",,"4,499","334,499"
P.Frost A. Hauser,"300,000","30,000",,-,330.000
R.P. Lifton,"300,000","30,000 30,000","20,105","6,221","336,221 350,105"
,"300,000",,see page 173,-,
B. Poussot,"300,000","30,000",,,"330,000"
S.Schwan,"(see‘5.3 Highest total remuneration paid to Dr Severin Schwan as a member of the Corporate Executive Commite',remuneration received inhis primaryfunctionas CEO Roche Groupis reflected in totalremuneration","(see‘5.3 Highest total remuneration paid to Dr Severin Schwan as a member of the Corporate Executive Commite',remuneration received inhis primaryfunctionas CEO Roche Groupis reflected in totalremuneration","(see‘5.3 Highest total remuneration paid to Dr Severin Schwan as a member of the Corporate Executive Commite',remuneration received inhis primaryfunctionas CEO Roche Groupis reflected in totalremuneration","(see‘5.3 Highest total remuneration paid to Dr Severin Schwan as a member of the Corporate Executive Commite',remuneration received inhis primaryfunctionas CEO Roche Groupis reflected in totalremuneration","(see‘5.3 Highest total remuneration paid to Dr Severin Schwan as a member of the Corporate Executive Commite',remuneration received inhis primaryfunctionas CEO Roche Groupis reflected in totalremuneration"
,,,,,for the Corporate Executive Committee)
C.Suessmuth Dyckerhoff,"300,000","30,000",,"6,176","336,176"
Total13,"3,100,000","300,000","58,487","23,800","3,482,287"
