Name (year of birth),Board of Directors,First elected,Chairman,Vice-Chairman
Dr Christoph Franz (1960),"C, D*, E","G,2011,",,
Dr Christoph Franz (1960),"A*, C*, D","E,G,,1996",G,2011
André Hoffmann (1958),"B, E, G",",2020",,1996
(representative of the shareholder group with pooled voting rights),"B*, E, G",",2016",,
Dr Jörg Duschmalé (1984),"A, E, G",",2019",,2020
(representative of the shareholder group with pooled voting rights),"B, E, G",",2016",,
Julie Brown (1962),"B*，E,G",",2020",,
Paul Bulcke (1954),"A, E, G",",2017",,
Prof. Dr Hans Clevers (1957),"C, E, G",",2015",,
Dr Patrick Frost (1968),"B, E, G",",2015",,
Anita Hauser (1969),"A, E, G",",2013",,
Prof. Dr Richard P. Lifton (1953),"C, E, G",",2016",,
Bernard Poussot (1952),"F,,2016,",,,
Dr Severin Schwan (1967),"A, E, G",",2016",,
Dr Claudia Suessmuth Dyckerhoff (1967),"A, E, G",",2016",,
Dr Annette Luther (1970),,,,
