Basic remuneration,Additional remuneration for committee members/chairs,Additional special remuneration,Additional BVG costs,Total remuneration
"C. Franz, Chairman","400,000","18,277","6,904","425,181"
"A. Hoffmann, Vice-Chairman","300,000","60,000","360,000",
J. Brown,"300,000","30,000","20,105","350,105"
P. Bulcke,"300,000","30,000","334,499",
H. Clevers,"300,000","30,000","20,105","350,105"
J. Duschmalé,"300,000","30,000","4,499","334,499"
P. Frost,"300,000","30,000","330,000",
A. Hauser,"300,000","30,000","6,221","336,221"
R.P. Lifton,"300,000","30,000","350,105",
B. Poussot,"300,000","30,000","330,000",
S. Schwan,"300,000","20,105","336,176",
C. Suessmuth Dyckerhoff,"300,000","30,000","6,176","336,176"
Total,"3,100,000","300,000","58,487","23,800,3,482,287"
