Corporate Executive Committee,2021,2020,2019,2018,2017,2016,2015
S.Schwan,"100,746","103,260","122,322","100,677","85,476","59,517",
B.Anderson,"50,374","46,467","55,045","19,854",,,
A.Hippe,"40,300","41,304","48,930","40,275","7,191",,
T.Schinecker,"22,669","20,652","3,872",,,,
C.A.Wilbur,"25,187","25,815","29,052","21,402","16,032",,
Total,"239,276","237,498","259,221","182,208","108,699","59,517",
Price (CHF),306.45,308.05,271.65,220.80,251.90,251.50,256.10
Market price per NES on 31 December 2021 (CHF),379.10,,,,,,
Expiry date,18.3.2031,19.3.2030,15.3.2029,15.3.2025,16.3.2024,3.3.2023,5.3.2022
Grant value per S-SAR (CHF),42.35,41.32*,34.88*,26.49*,31.20*,29.79*,43.34*
Since 1.1.2012:,,Trinomial model for American call options,,,,,
Values according to corresponding annual reports,,,,,,,
