Fiscal year,2021,2020
(in millions of €),Cost,"Cost,Cost"
Balance at beginning of fiscal year,10285,"9906,"
Currency translation differences and other,458,"-573,"
Acquisitions and purchase accounting adjustments,8027,"951,"
Balance at fiscal year-end,18769,"10285,"
Accumulated impairment losses,Accumulated impairment losses,"Accumulated impairment losses,Accumulated impairment losses"
Balance at beginning of fiscal year,-1247,"-1316,"
Currency translation differences,-10,"69,"
Balance at fiscal year-end,-1257,"-1247,"
Carrying amount,Carrying amount,"Carrying amount,Carrying amount"
Balance at beginning of fiscal year,9038,"8590,"
Balance at fiscal year-end,17512,"9038,"
