Defined benefitobligation (l)Fiscal year,Defined benefitobligation (l)Fiscal year,Defined benefitobligation (l)Fiscal year,Fair valueof plan assets (ll),Fair valueof plan assets (ll),Effectsof asset ceiling (l),Effectsof asset ceiling (l),Net defined benefitbalance (I-l+II)Fiscal year,Net defined benefitbalance (I-l+II)Fiscal year
Defined benefitobligation (l)Fiscal year,Defined benefitobligation (l)Fiscal year,Defined benefitobligation (l)Fiscal year,Fiscal year,Fiscal year,,,Net defined benefitbalance (I-l+II)Fiscal year,Net defined benefitbalance (I-l+II)Fiscal year
Defined benefitobligation (l)Fiscal year,Defined benefitobligation (l)Fiscal year,Defined benefitobligation (l)Fiscal year,Fiscal year,Fiscal year,of asset ceiling (l)Fiscal year,of asset ceiling (l)Fiscal year,Net defined benefitbalance (I-l+II)Fiscal year,Net defined benefitbalance (I-l+II)Fiscal year
(in millions of €),2021,2020,2021,2020,2021,2020,2021,2020
Balance at beginning of fiscal year,"3,798","3,847","2,813","2,858",8,13,993,"1,002"
Current service cost,80,73,1,,1,,80,73
Interest expenses,41,52,1,,,,41,52
Interest income,1,,33,43,,,-33,-43
Other1,1,-6,-2,-4,,,3,-2
Defined benefit cost recognized in theconsolidated statements of income,,,,,,,,
Defined benefit cost recognized in theconsolidated statements of income,122,119,30,39,,,92,81
Return on plan assets (excluding amountsincluded in net interest income andnet interest expenses),,,,,,,,
Return on plan assets (excluding amountsincluded in net interest income andnet interest expenses),,,,,,,,
Return on plan assets (excluding amountsincluded in net interest income andnet interest expenses),,,169,,,,,
Return on plan assets (excluding amountsincluded in net interest income andnet interest expenses),,,169,53,,,,
Return on plan assets (excluding amountsincluded in net interest income andnet interest expenses),,,169,53,,,-169,-53
Actuarial gains (-)and losses,-22,67,,,,,-22,67
Effects of asset ceiling,,,,,1,,1,-6
Remeasurements recognized in the,,,,,,,,
consolidated statements of comprehensiveincome,,,,,,,,
consolidated statements of comprehensiveincome,-22,67,169,53,1,-6,-191,9
Employer contributions,1,,82,77,,,-82,-77
Plan participants'contributions,9,9,9,9,,,1,
Benefits paid,-172,-153,-157,-138,,,-15,-15
Settlement payments,1,一,,,,,1,1
"Business combinations,disposals and other",307,4,272,,,,35,4
Currency translation differences,38,-95,39,-85,,,-1,-11
Other reconciliation items,182,-235,246,-137,,,-63,-99
Balance at fiscal year-end,"4,081","3,798","3,259","2,813",9,8,831,993
Thereof:,,,,,,,,
Germany,"2,033","2,007","1,318","1,216",,,715,791
United States,986,"1,050",948,937,,,38,113
United Kingdom,465,369,516,408,8,8,-43,-32
Switzerland,318,112,306,104,,,12,7
Other countries,278,261,171,147,1,,108,114
Thereof:,,,,,,,,
Provisions for pensions and similar obligations,,,,,,,908,"1,029"
Net defined benefit assets ²,Net defined benefit assets ²,Net defined benefit assets ²,,,,,77,36
