In scope of IFRS 9,In scope of IFRS 9,In scope of IFRS 9,In scope of IFRS 9,In scope of IFRS 9,,,
,Category of financial assets and liabilities,,Measured at fair value,,,,
(in millions of €),(IFRS 9)1,Measured at amortized cost,Level 1,Level2,Level3,Not in scope of IFRS9,Total
Cash and cash equivalents,AC,656,,,,,656
Trade receivables ²,AC,"2,520",,,,,"2,520"
Receivables from finance leases ³,n.a.,,,,,210,210
Current receivables from the Siemens Group,AC,"3,392",,,,,"3,392"
Other current and non-current financial assets ²,,,,,,,
Derivatives included in hedge accounting,n.a.,,,129,25,,154
Derivatives not included in hedge accounting,FVtPL,,,21,,,21
Equity instruments and fund shares measured atfair value through profit or loss,FVtPL,,13,9,11,,33
Equity instruments measured at fair value through other comprehensive income,FVtOCI,,一,,,,
Other,AC,81,一,一 1,42,,42 81
Total financial assets,,"6,650",13,160,78,210,"7,111"
Short-term and current maturities of long-term financial debt as well as long-term financial debt4,AC,109,,,,,
Trade payables,AC,"1,356",,,,,109
Lease liabilities5,n.a.,,,,,458,"1,356 458"
Current and non-current liabilities to the Siemens Group4,AC,,,,,,
Other current and non-current financial liabilities,,"4,942",,,,,"4,942"
Derivatives included in hedge accounting,n.a.,,,5,,,
Derivatives not included in hedge accounting,FVtPL,,,17,,,5 17
Contingent considerations from business,FVtPL,,,,,,
combinations Liabilities from written put options on,n.a.,,,,7,,7
non-controlling interests,AC,,,,,31,31
Other,,45,,,,,45
Total financial liabilities,,"6,452",二,21,7,489,"6,969"
