(in millions of €),Category of financial assets and liabilities (IFRS 9),Measured at amortized cost,In scope of IFRS 9,Not in scope of IFRS 9,Total
Cash and cash equivalents,AC,656,,,"-,656"
Trade receivables,AC,2520,,,"-,2520"
Receivables from finance leases,n.a.,-,-,210,210
Current receivables from the Siemens Group,AC,3392,,,"-,3392"
Other current and non-current financial assets,2,-,-,129,"25,154"
Derivatives included in hedge accounting,n.a.,-,129,25,"-,154"
Derivatives not included in hedge accounting,FVtPL,-,21,,"-,21"
Equity instruments and fund shares measured at fair value through profit or loss,,13,9,,"11,33"
Equity instruments measured at fair value through other comprehensive income,,-,-,,"42,42"
Other,AC,81,,,"-,81"
Total financial assets,,13,160,,"78,7111"
Short-term and current maturities of long-term financial debt as well as long-term financial debt,AC,109,,,"-,109"
Trade payables,AC,1356,,,"-,1356"
Lease liabilities,n.a.,-,-,458,458
Current and non-current liabilities to the Siemens Group,AC,4942,,,"-,4942"
Other current and non-current financial liabilities,,5,,,"-,5"
Derivatives included in hedge accounting,n.a.,-,5,,"-,5"
Derivatives not included in hedge accounting,FVtPL,-,17,,"-,17"
Contingent considerations from business combinations,,,,,"7,7"
Liabilities from written put options on non-controlling interests,n.a.,-,-,31,31
Other,AC,45,,,"-,45"
Total financial liabilities,,21,7,,"489,6969"
