in millions of €,Fiscal year,2021,2020
Revenue,16,16,16
Cost of sales,-15,-15,-15
Gross profit,1,1,1
General administrative expenses,-123,-27,-27
"Other operating income/expenses, net",-27,-27,-27
"Financial income/expenses, net","1,952","1,516","1,516"
Therein: income from investments,"2,005","1,535","1,535"
Income from business activity,"1,803","1,463","1,463"
Income taxes,-450,-327,-327
Net income,"1,353","1,135","1,135"
Profit carried forward,516,259,259
Unappropriated net income,"1,891","1,394","1,394"
