,In scope of IFRS 9,In scope of IFRS 9,In scope of IFRS 9,In scope of IFRS 9,,
,Category of financial assets,,Measured at fair value,,,
(in millions of €),and liabilities (IFRS 9)1,Measured at amortized cost,Level 1,Level 2,Not in scope of Level3,IFRS 9 Total
Cash and cash equivalents,AC,"1,322",,,,"1,322"
Trade receivables ²,AC,"3,687",,,,"3,687"
Receivables from finance leases ³,n.a.,,,,265,265
Current receivables from the Siemens Group,AC,711,,,,711
Other current and non-current financial assets²,,,,,,
Derivatives included in hedge accounting,n.a.,,,502,,502
Derivatives not included in hedge accounting,FVtPL,,,20,,20
Equity instruments and fund shares measured at fair value through profit or loss,FVtPL,,40,4,83,127
Equity instruments measured at fair value through other comprehensive income,FVtOCI,,,,47,47
Debt instruments measured at fair value through profit or loss,FVtPL,,,1,42,
Other,AC,146,,,,43 146
Total financial assets,,"5,866",40,528,172 265,"6,871"
Short-term and current maturities of long-term financialdebtaswellas long-term financialdebt4,AC,,,,,
Trade payables,,97,,,,97
Lease liabilities 5,AC n.a.,"1,921",,,,"1,921"
Current and non-current liabilities to,AC,,,,656,656
the Siemens Group 4,,"13,569",,,,"13,569"
Other current and non-current financial liabilities Derivatives included in hedge accounting,,,,,,
Derivatives not included in hedge accounting,n.a. FVtPL,,,45,,45
Contingent considerations from business,FVtPL,,,14,,14
combinations,,,,,27,27
Liabilities from written put options on non-controlling interests,n.a.,,,,,72 72
Other,AC,124,,,,124
Total financial liabilities,,"15,710",1,59,27,"728 16,525"
