Inputs to the valuation model for the following beneficiaries,Members of the Managing Board,Members of senior management and other eligible employees,Members of the Managing Board,Members of senior management and other eligible employees,Members of senior management and other eligible employees
Tranche 2021,Plan design I,Plan design II,,,
Performance condition,TSR target,"ESG target,n. a.",,,
Target attainment,0–200%,n. a.,,,
Restriction period,About 4 years,About 1 to about 4 years,,,
Beneficiaries,"Members of the Managing Board, eligible members of senior management and other eligible employees",Members of senior management and other eligible employees,,,
Restriction period,About 1 to 4 years,About 1 to 4 years,,,
Classification,Equity-settled share-based payment,,,,
Number of granted stock awards,"458,433","1,021,068",,,
Fair Value at the grant date,€ 10 million,€36 million,,,
Determination of the fair value,Valuation model,Share price less present value of expected dividends,,,
Inputs to the valuation model for,Members of the Managing Board,"Members of senior management and other eligible employees,Members of the Managing Board,Members of senior management and other eligible employees,Members of senior management and other eligible employees",,,
Expected weighted volatility of Siemens Healthineers AG share²,26.97%,n.a.,n.a.,,
Share price per Siemens Healthineers AG share,€40.37,€37.55,€40.37,€37.55,€37.55
Expected dividend yield,1.98%,2.13%,n.a.,n.a.,n.a.
Risk-free interest rate,−0.51%,−0.49%,n.a.,n.a.,n.a.
