(in millions of €),Cash flow hedges reserveFiscal year,Cash flow hedges reserveFiscal year,Cost of hedging reserve,Cost of hedging reserve
(in millions of €),Cash flow hedges reserveFiscal year,Cash flow hedges reserveFiscal year,Fiscal year,Fiscal year
(in millions of €),2021 2020,2021 2020,2021 2020,2021 2020
Balance at beginning of fiscal year,37,-24,117,3
Changes in the fair value of hedging instruments,99,-127,96,221
Amounts reclassified into revenue (hedging of forecast sales),4,-1,一,
Amounts reclassified into cost of sales (hedging of forecast purchases),-4,-1,,
Amounts reclassified into other financial income(hedging of financial debt denominated in foreign currency),,,,
Amounts reclassified into other financial income(hedging of financial debt denominated in foreign currency),-273,211,,
Amounts reclassified into interest expenses,3,1,-125,-67
Amounts reclassified into initial costs of assets,114,0,一,0
Income tax effects,17,-22,1,-40
Balance at end of fiscal year,-3,37,89,117
