Siemens Healthineers AG shares,Fiscal year,2021,2020
Outstanding at beginning of fiscal year,"518,155","134,462",
Granted,"396,904","410,693",
Vested and fulfilled,,,
Forfeited,"-36,365","-19,941",
Settled,"-15,202","-7,059",
Outstanding at fiscal year-end,"863,492","518,155",
Siemens AG shares,Fiscal year,2021,2020
Outstanding at beginning of fiscal year,"121,618","213,232",
Granted,,,
Vested and fulfilled,"-119,251","-79,790",
Forfeited,"-1,604","-7,167",
Settled,-757,"-4,657",
Outstanding at fiscal year-end,6,"121,618",
