,,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,Development of outlook FY 2021,,,,,,,
,,,,,,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,ResultsFY2021,,,,,,
,,Annual Report 2020,Quarterly Statement Q1,Half Year Financial Report,,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,Quarterly Statement Q3,ResultsFY2021,,,,,,
Siemens,Comparable revenue,Between 5% and 8%,Between 8% and 12%,Between 14% and 17%,,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 %,,,,,
Healthineers,growth,,,,,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,,,,,,
,Adjusted basic,,,,,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,,,,,,
,Adjusted basic,Between €1.58,Between €1.63,Between €1.90,,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,,,,,,
,earnings per share,and€1.72,and€1.82,and€2.05,,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,Between 17% and 19 % 19%Between €1.95 €2.03and€2.05,,,,,,
Segments,,,,,,More than 9%,More than 9%,More than 9%,More than 9%,More than 9%,More than 9%,More than 9%,More than 9%,11%21.1%,,,,,,
Imaging,Comparable revenue,"At least5%, clearly",At least 7%,"More than 8%,above",,More than 9%,More than 9%,More than 9%,More than 9%,More than 9%,More than 9%,More than 9%,More than 9%,11%21.1%,More,More,More,oreth,oreth,
,growth,above the previous year,,the previous year,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,11%21.1%,,,,,,
,Adjusted EBIT margin,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,Increase of around 100,11%21.1%,,,,,,
,,basis points compared,basis points compared,basis points compared,,basis points compared,basis points compared,basis points compared,basis points compared,basis points compared,basis points compared,basis points compared,basis points compared,11%21.1%,,,,,,
,,to the prior year,to the prior year,to the prior year,,to the prior year,to the prior year,to the prior year,to the prior year,to the prior year,to the prior year,to the prior year,to the prior year,11%21.1%,,,,,,
Diaqnostics,Diagnostics Comparable revenue,Mid- to high-single-digit,At least in the mid-teens,More than 25%,,More than 35%,More than 35%,More than 35%,More than 35%,More than 35%,More than 35%,More than 35%,More than 35%,42%13.3%,,,,,,
,growthAdjusted EBIT margin,"More than 5%,clearly",,,,,,,,,,,,42%13.3%,,,,,,
,growthAdjusted EBIT margin,"More than 5%,clearly",,,,,,,,,,,,42%13.3%,,,,,,
,growthAdjusted EBIT margin,"More than 5%,clearly",More than 7%,"More than 10 %,clearly",,"More than 10 %,clearly","More than 10 %,clearly","More than 10 %,clearly","More than 10 %,clearly","More than 10 %,clearly","More than 10 %,clearly","More than 10 %,clearly","More than 10 %,clearly",,,,,,,
,,above the prior-year,,above the prior-year,,above the prior-year,above the prior-year,above the prior-year,above the prior-year,above the prior-year,above the prior-year,above the prior-year,above the prior-year,,,,,,,
,,level,,level,,level,level,level,level,level,level,level,level,,,,,,,
Varian,Adjusted revenue,,,Between €1.2 billion,,Between €1.3 billion,Between €1.3 billion,Between €1.3 billion,Between €1.3 billion,Between €1.3 billion,Between €1.3 billion,Between €1.3 billion,Between €1.3 billion,€1.3bn,,,,,,
,(April 15 to,,,and €1.4 billion,,and €1.4 billion,and €1.4 billion,and €1.4 billion,and €1.4 billion,and €1.4 billion,and €1.4 billion,and €1.4 billion,and €1.4 billion,,,,,,,
,"September30,2021)Adjusted EBIT margin",,,Between 12 % and 14 %,,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,17.0%,,,,,,
,"September30,2021)Adjusted EBIT margin",,,Between 12 % and 14 %,,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,17.0%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%,Between 15% and 17%
Advanced,Comparable revenue,"At least 5%,strongly",At least 6%,"More than 7%,above",,"More than 7%,above","More than 7%,above","More than 7%,above","More than 7%,above","More than 7%,above","More than 7%,above","More than 7%,above",above,above,9%,,,,,
Therapies,growth,above the prior-year,,the prior-year levelContinued positive,,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,14.8%,,,,,,
,Adjusted EBIT margin,levelAt approximately the,,the prior-year levelContinued positive,,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,14.8%,,,,,,
,Adjusted EBIT margin,levelAt approximately the,Continued positive,the prior-year levelContinued positive,,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,the prior-year levelAt mid-teens,14.8%,,,,,,
,,"prior-year level,contin-",development compared,development compared,,,,,,,,,,,,,,,,
,,ued positive develop-,to the industry overall,to the industry overall,,,,,,,,,,,,,,,,
,,ment compared to theindustry overall,,to the industry overall,,,,,,,,,,,,,,,,
