(in millions of €),Deal contingent forward,Equity instruments,Debt instruments measured at fair value through profit or loss,Contingent consideration,Liabilities from written put options on non-controlling interests
Balance at beginning of fiscal year,25,53,-,7,31
Fiscal year,2021,2020,2021,2020,"2021,2020,2021,2020"
Balance at beginning of fiscal year,25,53,-,7,31
Gains and losses recognized in profit or loss,-89,18,2,-,"-,-,-,-"
Gains and losses recognized in equity,-115,5,-,-,"-,-,41,-44"
Additions,-,11,-,-,"-,-,-,58"
Disposals and settlements,179,-14,-,-,"-,-,-,-"
Currency translation differences,-,3,1,-,"-,-,-,-"
Other,-,54,39,-,"24,-,-,-"
Balance at end of fiscal year,-,130,42,27,"72,31"
