(in millions of €),Fiscal Year2021 2020,Fiscal Year2021 2020,%-Change,%-Change,
(in millions of €),Fiscal Year2021 2020,Fiscal Year2021 2020,2021,Act.,Comp.138%
"Europe,Common-wealth of IndependentStates,Africa,MiddleEast (EMEA)",,,43%,,
"Europe,Common-wealth of IndependentStates,Africa,MiddleEast (EMEA)",,,43%,,
"Europe,Common-wealth of IndependentStates,Africa,MiddleEast (EMEA)",,,43%,,
"Europe,Common-wealth of IndependentStates,Africa,MiddleEast (EMEA)","6,775","4,747",43%,,
Therein:Germany,"1,745",874,100%,95%,Comp.138%
Americas,"6,407","5,691",13%,9%,Comp.138%
Therein:United States,"5,466","4,909",11%,7%,Comp.138%
"Asia,Australia","4,815","4,022",20%,12%,Comp.138%
Therein: China,"2,354","1,893",24%,16%,
Siemens Healthineers,"17,997","14,460",24%,19%,
