Currency translation differences,Additions through business,Additions Reclassifications,,,Gross carrying amount at end of fiscal year2021,"Accumulated amortization, depreciation and impairments",Carrying amountat end of fiscalyear 2021,"Amortization, depreciation and impairments in fiscal year 2021"
16,combinations,179,,Retirements -16,"1,990",-772,"1,218",-126
90,"2,493",22,,-45,"3,424",-471,"2,952",-110
134,"3,792",1,,-786,"5,471","-1,430","4,041",-175
240,"6,285",201,二,-847,"10,884","-2,673","8,211",-411
21,180,62,71,-18,"1,656",-688,967,-50
16,66,28,57,-11,"1,030",-679,351,-61
17,59,132,31,-58,"1,283",-912,371,-136
34,14,301,1,-206,"2,010 417","-1,088",922,-207
8,46,260,-159,-2,780,1 -204,417,1
12,145,196,1,-32 -32,188,-80,576 108,-119
2,16,74,1,-358,"7,364","-3,652","3,712",-55 -628
110,526,"1,052",1,,,,,
