(in millions of €),"Sept 30, 2021","Sept 30, 2020"
Short-term financial debt and current maturities of long-term financial debt,225,167
Long-term financial debt,457,314
Current liabilities to the Siemens Group from financing activities,1926,2040
Liabilities to the Siemens Group from financing activities,11708,2982
Market value of forwards for hedging of foreign currency liabilities from financing activities,-498,-92
Current receivables from the Siemens Group from financing activities,-594,-3271
Cash and cash equivalents,-1322,-656
Net debt^,11901,1484
Provisions for pensions and similar obligations,908,1029
Net debt (including pensions),12809,2513
Income before income taxes,2404,1954
"Interest income, interest expenses and other financial income, net",169,27
"Amortization, depreciation and impairments",1039,815
EBITDA,3612,2796
Net debt (including pensions)/EBITDA,3.5,0.9
