(in millions of €),Fiscal year,Fiscal year2020
(in millions of €),2021,Fiscal year2020
Cost,,
Balance at beginning of fiscal year,"10,285","9,906"
Currency translation differences and other,458,-573
Acquisitions and purchaseaccounting adjustments,"8,027",951
Balance at fiscal year-end,"18,769","10,285"
Accumulated impairment losses,,
Balance at beginning of fiscal year,"-1,247","-1,316"
Currency translation differences,-10,69
Balance at fiscal year-end,"-1,257","-1,247"
Carrying amount,,
Balance at beginning of fiscal year,"9,038","8,590"
Balance at fiscal year-end,"17,512 9,038","17,512 9,038"
