Revenue by customer Revenue by entitylocation locationFiscal year Fiscal year,Revenue by customer Revenue by entitylocation locationFiscal year Fiscal year,Revenue by customer Revenue by entitylocation locationFiscal year Fiscal year,Revenue by customer Revenue by entitylocation locationFiscal year Fiscal year,Revenue by customer Revenue by entitylocation locationFiscal year Fiscal year,Revenue by customer Revenue by entitylocation locationFiscal year Fiscal year
(in millions of €),2021,2020,,2021,2020
"Europe, C.I.S.,Africa,Middle East (EMEA)","6,775","4,747",,"6,935","5,094"
Americas,"6,407","5,691",,"6,610","5,665"
"Asia,Australia","4,815","4,022",,"4,452","3,701"
Total,"17,997","14,460",,"17,997","14,460"
Thereof:,,,,,
Germany,"1,745",874,,"2,274","1,418"
Foreign countries,"16,252","13,586",,"15,723","13,042"
Therein:,,,,,
United States,"5,466","4,909",,"5,770","4,937"
China,"2,354","1,893",,"2,151","1,716"
