Fiscal year,2021,2020
(in millions of €),Total segments' adjusted EBIT,"3,272,2,298"
Centrally carried pension service and administration expenses,-12,-17
Amortization, depreciation and other effects from IFRS 3 purchase price allocation adjustments,"-381,-168"
Transaction, integration,"retention and carve-out costs,-123,-34"
Gains and losses from divestments,3,-
Severance charges,-68,-65
Financial income, net,"-169,-27"
Corporate items,-108,-22
Corporate treasury, Siemens Healthineers Real Estate^1 eliminations and other items,"-10,-10"
Total reconciliation to consolidated financial statements,-868,-343
Siemens Healthineers' income before income taxes,2,"404,1,954"
