"Sept 30, 2021",Equity interest in %
"Siemens Healthcare Limited, Taipei/Taiwan, Province of China",100
"Siemens Healthcare Ltd., Dhaka/Bangladesh",100
"Siemens Healthcare Private Limited, Mumbai/India",100
"Siemens Healthcare Pte. Ltd., Singapore/Singapore",100
"Siemens Healthcare Pty. Ltd., Melbourne/Australia",100
"Siemens Healthcare Sdn. Bhd., Petaling Jaya/Malaysia",100
"Siemens Healthineers Diagnostics (Shanghai) Co., Ltd., Shanghai/China",100
"Siemens Healthineers Digital Technology (Shanghai) Co., Ltd., Shanghai/China",100
"Siemens Healthineers India LLP, Bangalore/India",100
"SIEMENS HEALTHINEERS INDIA MANUFACTURING PRIVATE LIMITED, Mumbai/India",100
"Siemens Healthineers Ltd., Seoul/Korea",100
"Siemens Healthineers Ltd., Shanghai/China",100
"Siemens Shanghai Medical Equipment Ltd., Shanghai/China",100
"Siemens Shenzhen Magnetic Resonance Ltd., Shenzhen/China",100
"Siemens Technology Development Co., Ltd. of Beijing, Beijing/China",90
"Siemens X-Ray Vacuum Technology Ltd., Wuxi, Wuxi/China",100
"Varian Medical Systems Australasia Pty Ltd., Belrose/Australia",100
"Varian Medical Systems China Co., Ltd., Beijing/China",100
"Varian Medical Systems International (India) Private Limited, Mumbai/India",100
"Varian Medical Systems K.K., Tokyo/Japan",100
"Varian Medical Systems Korea, Inc., Seoul/Korea",100
