Currency translation differences,Additions through business combinations,Additions,Reclassifications,Retirements,Gross carrying amount at end of fiscal year 2021,"Accumulated amortization, depreciation and impairments",Carrying amount at end of fiscal year 2021,"Amortization, depreciation and impairments in fiscal year 2021"
16,-,179,-,16,1990,-772,1218,-126
90,2493,22,-,45,3424,-471,2952,-110
134,3792,-,",",786,5471,-1430,4041,-175
240,6285,201,-,847,10884,-2673,8211,-411
21,180,62,71,-18,1656,-688,967,-50
16,66,28,57,-11,1030,-679,351,-61
17,59,132,31,-58,1283,-912,371,-136
34,14,301,1,-206,2010,-1088,922,-207
8,46,260,-159,-2,417,-,417,-
12,145,196,-,32,780,-204,576,-119
2,16,74,-,32,188,-80,108,-55
110,526,1052,-,358,7364,-3652,3712,-628
