Currency translation differences,Additions through business combinations,,,,Gross carying amount at end of fiscal year 2020,"Accumulated amortization, depreciation and impairments",Carrying amount at end of fiscal year 2020,"Amortization, depreciation and impairments in fiscal year 2020",
Currency translation differences,Additions through business combinations,,,,Gross carying amount at end of fiscal year 2020,"Accumulated amortization, depreciation and impairments",Carrying amount at end of fiscal year 2020,"Amortization, depreciation and impairments in fiscal year 2020",Additions Reclassifications Retirements
-72,,245,-1,-15,"1,812",-657,"1,154",-99,
-41,299,37,1,-1,862,-401,461,-53,
-135,139,1,一,,"2,331","-2,034",297,-138,
-248,438,281,二,-16,"5,005","-3,093","1,912",-290,
-51,1,35,137,-3,"1,340",-645,694,-40,
-38,,25,35,-10,874,-620,254,-50,
-46,2,86,22,-49,"1,103",-816,287,-93,
-96,1,302,25,-149,"1,866","-1,033",832,-185,
-16,1,127,-219,1,264,,264,1,
-21,14,110,1,-12,459,-98,361,-105,
-5,1,57,1,-18,128,-45,82,-53,
-273,17,742,二,-241,"6,033","-3,259","2,774",-525,
