Category of financial assets and liabilities (IFRS 9),Measured at amortized cost,In scope of IFRS 9,Not in scope of IFRS 9,Total
Cash and cash equivalents,AC,"1,322",-,"-,1,322"
Trade receivables,AC,"3,687",-,"-,3,687"
Receivables from finance leases,n.a.,-,-,"-,265"
Current receivables from the Siemens Group,AC,711,-,"-,711"
Other current and non-current financial assets,2,-,502,"-,502"
Derivatives included in hedge accounting,n.a.,-,-,"-,502"
Derivatives not included in hedge accounting,FVtPL,-,20,"-,20"
Equity instruments and fund shares measured at fair value through profit or loss,FVtPL,-,40,"4,83"
Equity instruments measured at fair value through other comprehensive income,FVtOCI,-,-,"-,47"
Debt instruments measured at fair value through profit or loss,FVtPL,-,-,"1,42"
Other,AC,146,-,"-,146"
Total financial assets,"5,866",40,528,"172,265,6,871"
Short-term and current maturities of long-term financial debt as well as long-term financial debt,AC,97,-,"-,-,97"
Trade payables,AC,"1,921",-,"-,-,1,921"
Lease liabilities,n.a.,-,-,"-,656,656"
Current and non-current liabilities to the Siemens Group,AC,"13,569",-,"-,-,13,569"
Other current and non-current financial liabilities,-,-,45,"-,-,45"
Derivatives included in hedge accounting,n.a.,-,-,"-,-,45"
Derivatives not included in hedge accounting,FVtPL,-,-,"14,-,14"
Contingent considerations from business combinations,FVtPL,-,-,"-,27,27"
Liabilities from written put options on non-controlling interests,n.a.,-,-,"-,72,72"
Other,AC,124,-,"-,-,124"
Total financial liabilities,"15,710",-,59,"27,728,16,525"
