Defined benefit obligation (I),Fair value of plan assets (II),Effects of asset ceiling (III),Net defined benefit balance (I-II+III),Balance at beginning of fiscal year
2021,2020,2021,2020,"2021,2020"
Balance at beginning of fiscal year,"3,798","3,847","2,813","2,858,8,13,993,1,002"
Current service cost,80,73,-,"-,-,-,80,73"
Interest expenses,41,52,-,"-,-,-,41,52"
Interest income,-,-,33,"43,-,-,-33,-43"
Other,1,-6,-2,"-4,-,-,3,-2"
Defined benefit cost recognized in the consolidated statements of income,122,119,30,"39,-,-,92,81"
Return on plan assets (excluding amounts included in net interest income and net interest expenses),-,-,169,"53,-,-,-169,-53"
Actuarial gains (-) and losses,-22,67,-,"-,-,-,-22,67"
Effects of asset ceiling,-,-,1,"-6,1,-6,1,-6"
Remeasurements recognized in the consolidated statements of comprehensive income,-22,67,169,"53,1,-6,-191,9"
Employer contributions,-,-,82,"77,-,-,-82,-77"
Plan participants' contributions,9,9,9,"9,-,-,-,-"
Benefits paid,-172,-153,-157,"-138,-,-,-15,-15"
Settlement payments,-,-,-,"-,-,-,-,-"
"Business combinations, disposals and other",307,4,272,"-,35,4,35,4"
Currency translation differences,38,-95,39,"-85,-,-,-1,-11"
Other reconciliation items,182,-235,246,"-137,-,-,-63,-99"
Balance at fiscal year-end,"4,081","3,798","3,259","2,813,9,8,831,993"
Thereof:,Germany,"2,033","2,007","1,318,1,216,-,-,715,791"
Thereof:,United States,986,"1,050","948,937,-,-,38,113"
Thereof:,United Kingdom,465,369,"516,408,8,8,-43,-32"
Thereof:,Switzerland,318,112,"306,104,-,-,12,7"
Thereof:,Other countries,278,261,"171,147,1,-,108,114"
Thereof:,Provisions for pensions and similar obligations,-,-,"-,-,-,-,908,1,029"
Thereof:,Net defined benefit assets,-,-,"-,-,-,-,77,36"
