(in millions of €),"Sept 30,",2021,2020
Cash and cash equivalents,"-1,322",-656,
Current receivables from the Siemens Group from financing activities,-594,"-3,271",
Current liabilities to the Siemens Group from financing activities,"1,926","2,040",
Liabilities to the Siemens Group from financing activities,"11,708","2,982",
Market value of forwards for hedging of foreign currency liabilities from financing activities,-498,-92,
Short-term financial debt and current maturities of long-term financial debt,225,167,
Long-term financial debt,457,314,
Net debt,"11,901","1,484",
Provisions for pensions and similar obligations,908,"1,029",
Net debt (including pensions),"12,809","2,513",
