"Equity interestSept 30,2021 in %","Equity interestSept 30,2021 in %"
"P.E.T.NET Houston,LLC,Austin,TX/United States",51
"Page Mill Corporation, Boston,MA/United States",100
"PETNET Indiana,LC,Indianapolis,IN/United States",501
"PETNET Solutions Cleveland, LLC,Wilmington, DE/United States",63
"PETNETSolutions,Inc., Knoxvill,TN/UnitedStates",100
"Siemens Healthcare Diagnósticos Ltda.,Sao Paulo/Brazil",100
"Siemens Healthcare Diagnostics Inc.,Los Angeles,CA/United States",100
"Siemens Healthcare Diagnostics S.A.,San José/Costa Rica",100
"Siemens Healthcare Diagnostics,S.de R.L. de C.V.,Mexico City/Mexico",100
"Siemens Healthcare Equipos Médicos Sociedad porAcciones,Santiago de Chile/Chile",100
"Siemens Healthcare Laboratory, LLC,Wilmington, DE/United States",100
"Siemens Healthcare Limited, Oakville/Canada",100
"Siemens Healthcare S.A., Buenos Aires/Argentina",100
"Siemens Healthcare S.A., Caracas/Venezuela",1005
"Siemens Healthcare S.A.C., Surquillo/Peru",100
"Siemens Healthcare S.A.S.,Tenjo/Colombia",100
"Siemens Healthcare,Sociedad Anonima,Antiguo Cuscatlan/El Salvador",100
"Siemens Healthineers Holdings, LLC,Wilmington,DE/UnitedState",100
"Siemens Medical Solutions USA,Inc.,Wilmington,DE/United States",100
"Siemens S.A., Montevideo/Uruguay",100
"Siemens-Healthcare Cia. Ltda., Quito/Ecuador",100
"Talent Choice Investment Limited,George Town/Cayman Islands",100
"Varian BioSynergy, Inc.,Wilmington,DE/United States",100
"Varian Medical Systems Africa Holdings, Inc.,Wilmington, DE/United States",100
"Varian Medical Systems Brasil Ltda.,Säo Paulo/Brazil",100
"Varian Medical Systems Canada Holdings, Inc.,Wilmington,DE/United States",100
"Varian Medical Systems Canada,Inc.,Ottawa/Canada",100
"Varian Medical Systems India Private Limited,Wilmington, DE/United States",100
"Varian Medical Systems International Holdings, Inc.,Wilmington, DE/United States",100
"Varian Medical Systems Latin America, Ltd.,Wilmington,DE/UnitedStates",100
