,Year of birth,Member since,,Memberships in supervisory boards whose establishment is required by law or in comparable domesticor foreign controlling bodies of business enterprises
,Year of birth,Member since,,"(as of September 30,2021)"
Name Prof.Dr. Ralf P.Thomas Chairman,Occupation Member of the,1961,2018,German positions:
Name Prof.Dr. Ralf P.Thomas Chairman,Managing Board of Siemens Aktiengesellschaft,,,·Siemens Energy AG ·Siemens Energy Management GmbH
Name Prof.Dr. Ralf P.Thomas Chairman,(Chief Financial Officer),,·Siemens Healthcare GmbH (Chair),
Name Prof.Dr. Ralf P.Thomas Chairman,(Chief Financial Officer),,Positions outside Germany:,
Dr. Norbert Gaus Deputy Chairman,Executive Vice President Corporate Technology of Siemens Aktiengesellschaft,1961,2018,"·Siemens Proprietary Ltd.,South Africa German positions: ·Siemens Healthcare GmbH"
Dr. Roland Busch,President and Chief Executive Officer of Siemens Aktiengesellschaft,1964,2020,German positions: ·Siemens Mobility GmbH (Chair)
Dr. Marion Helmes,Supervisory board member,1965,2018,"German positions: ·ProSiebenSat.1 Media SE(Deputy Chair) Positions outside Germany: ·British American Tobacco p.l.c., United Kingdom"
Dr. Andreas C. Hoffmann,General Counsel of Siemens Aktiengesellschaft,1964,2018,"·Heineken N.V.,The Netherlands German positions: ·Siemens Healthcare GmbH Positions outside Germany: ·Siemens Ltd., China"
Dr. Philipp Rosler,Supervisory board member,1973,2018,"German positions: ·Brainloop AG Positions outside Germany: ·Fortum Corporation,Finland"
"Peer M.Schatz (since March 23,2021)",Managing Director of PS Captial Management GmbH,1965,2021,"·Loc Troi Group, Vietnam German positions: ·Resolve BioSciences GmbH (Chair) Positions outside Germany: ·CENTOGENE N.V.,The Netherlands (Chair)"
Dr. Nathalie von Siemens,Supervisory board member,1971,2018,German positions: ·Messer Group GmbH ·Siemens Aktiengesellschaft ·Siemens Healthcare GmbH · TUV SUD AG Positions outside Germany:
Dr. Gregory Sorensen,"Founder and CEO of DeepHealth,Inc.(artificial intelligence division of RadNet,Inc.)and Executive Chairman of IMRIS",1962,2018,"·EssilorLuxottica S.A., France German positions: ·Fresenius Medical Care AG& Co. KGaA ·Fresenius Medical Care Management AG Positions outside Germany: ·DFP Healthcare Acquisitions Corp., USA"
Karl-Heinz Streibich,"(Deerfield Imaging,Inc.) President of acatech - Deutsche Akademie der Technikwissenschaften",1952,2018,"·Invicro,LLC,USA German positions: ·Deutsche Telekom AG ·Münchener Rückversicherungs-Gesellschaft AG ·Software AG (Chair)"
