(in millions of €),Note,Fiscal year,2021,2020
Net income,,2021,1746,1423
Remeasurements of defined benefit plans,21,,154,−5
Therein: Income tax effects,,2021,−37,3
Equity instruments measured at fair value through other comprehensive income,25,,4,−
Therein: Income tax effects,,2021,−1,−
Other comprehensive income that will not be reclassified to profit or loss,,2021,158,−5
Currency translation differences,,2021,724,−768
Cash flow hedges,25,,−154,61
Therein: Income tax effects,,2021,17,−22
Cost/Income from hedging,25,,−28,114
Therein: Income tax effects,,2021,1,−40
Other comprehensive income that may be reclassified subsequently to profit or loss,,2021,542,−593
Other comprehensive income, net of taxes,,2021,"700,−598"
Comprehensive income,,2021,2446,825
Thereof attributable to:,,2021,2423,814
Non-controlling interests,,2021,23,11
Shareholders of Siemens Healthineers AG,,2021,2423,814
