"Sept 30, 2021",Equity interest in %,Subsidiaries
Germany (22 companies),,"Acuson GmbH, Erlangen,100^5"
Germany (22 companies),,"BEFUND24 GmbH, Erlangen,85"
Germany (22 companies),,"Dade Behring Grundstücks GmbH, Kemnath,94"
Germany (22 companies),,"NEO New Oncology GmbH, Cologne,100^7"
Germany (22 companies),,"Siemens Healthcare Diagnostics Products GmbH, Marburg,100^7"
Germany (22 companies),,"Siemens Healthcare GmbH, Munich,100^7"
Germany (22 companies),,"Siemens Healthineers Beteiligungen GmbH & Co. KG, Röttenbach,100^8"
Germany (22 companies),,"Siemens Healthineers Beteiligungen Verwaltungs-GmbH, Röttenbach,100^5"
Germany (22 companies),,"Siemens Healthineers Holding I GmbH, Munich,100"
Germany (22 companies),,"Siemens Healthineers Holding II GmbH, Munich,100^5"
Germany (22 companies),,"Siemens Healthineers Innovation GmbH & Co. KG, Röttenbach,100^8"
Germany (22 companies),,"Siemens Healthineers Innovation Verwaltungs-GmbH, Röttenbach,100^5"
Germany (22 companies),,"Siemens Medical Solutions Health Services GmbH, Grünwald,100"
Germany (22 companies),,"Siemens Real Estate GmbH & Co. KG, Kemnath,94^8"
Germany (22 companies),,"Siemens Real Estate Management GmbH, Kemnath,100^5"
Germany (22 companies),,"Varian Medical Systems Deutschland GmbH & Co. KG, Darmstadt,100^8"
Germany (22 companies),,"Varian Medical Systems Haan GmbH, Haan,100^7"
Germany (22 companies),,"Varian Medical Systems München GmbH, Munich,100^7,^9"
Germany (22 companies),,"Varian Medical Systems Particle Therapy GmbH & Co. KG, Troisdorf,100^8,^9"
Germany (22 companies),,"VMS Deutschland Holdings GmbH, Darmstadt,100^7"
Germany (22 companies),,"Zeleni Holding GmbH, Kemnath,100"
Germany (22 companies),,"Zeleni Real Estate GmbH & Co. KG, Kemnath,100^8"
"Europe, C.I.S., Africa, Middle East (EMEA) (without Germany) (81 companies)",,"Acuson Denmark S/A, Ballerup/Denmark,100^5"
"Europe, C.I.S., Africa, Middle East (EMEA) (without Germany) (81 companies)",,"Acuson France SAS, Saint-Denis/France,100^5"
"Europe, C.I.S., Africa, Middle East (EMEA) (without Germany) (81 companies)",,"Acuson Italy S.r.l., Milan/Italy,100^5"
"Europe, C.I.S., Africa, Middle East (EMEA) (without Germany) (81 companies)",,"Acuson RUS Limited Liability Company, Moscow/Russian Federation,100^5"
"Europe, C.I.S., Africa, Middle East (EMEA) (without Germany) (81 companies)",,"Acuson Slovakia s.r.o., Bratislava/Slovakia,100^5"
"Europe, C.I.S., Africa, Middle East (EMEA) (without Germany) (81 companies)",,"Acuson United Kingdom Ltd., Frimley, Surrey/United Kingdom,100^5"
