(in millions of €),Fiscal year,Fiscal year
(in millions of €),2021,2020
Total segments'adjusted EBIT,"3,272","2,298"
Centrally carried pension service andadministration expenses,-12,-17
"Amortization,depreciation and other effectsfrom IFRS 3 purchase price allocationadjustments",-381,-168
"Transaction,integration,retention andcarve-out costs",-123,-34
Gains and losses from divestments,3,1
Severance charges,-68,-65
"Financial income,net",-169,-27
Corporate items,-108,-22
"Corporate treasury, Siemens HealthineersReal Estate'eliminations and other items",-10,-10
Total reconciliation toconsolidated financial statements,-868,-343
Siemens Healthineers'incomebefore income taxes,"2,404","1,954"
