Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,,,,
Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,Siemens Healthineers AGshares Siemens AG sharesFiscal year Fiscal year2021 2020 2021 2020,2020 2021,2020 2021,2020 2021,"2020534,148"
Non-vested atbeginning offiscal year,"3,390,682","2,400,158",,"325,330",,,,,
Granted,"1,479,501","1,139,79",,,,,,,
Vested and fulfilled,"-189,111",,,"-198,643","-193,877",,,,
Forfeited,"-79,970","-130,553",,"-36,790","-12,793",,,,
Settled,"-1,813","-18,802",,-81,"-2,148",,,,
Adjustment inquantity1,"-45,838",,,1,,,,,
Other,524,,,137,,,,,
Non-vested atfiscal year-end,"4,553,975","3,390,682",,"89,953","325,330",,,,
