(in millions of €)\tNote\tSept 30, 2021\tSept 30, 2020
Cash and cash equivalents\t25\t1,322\t656,
Trade and other receivables\t7, 25\t3,"740\t2,568"
Other current financial assets\t8, 25\t169\t142,
Current receivables from the Siemens Group\t16, 25,"31\t711\t3,392"
Contract assets\t9\t1,159\t818,
Inventories\t10\t3,179\t2,304
Current income tax assets\t5\t56\t49,,
Other current assets\t11\t489\t338,,
Total current assets\t\t10,824\t10,268
Goodwill\t12\t17,512\t9,038
Other intangible assets\t13\t8,211\t1,912
Property, plant and equipment\t13\t3,"712\t2,774"
Investments accounted for using the equity method\t\t33\t37,,
Other financial assets\t14, 25\t928\t352,
Deferred tax assets\t5\t481\t419,,
Other assets\t15\t460\t295,,
Total non-current assets\t\t31,338\t14,827
Total assets\t\t42,162\t25,094
Short-term financial debt and current maturities of long-term financial debt\t16, 25\t225\t167,
Trade payables\t25\t1,921\t1,356
Other current financial liabilities\t25\t263\t93,,
Current liabilities to the Siemens Group\t16, 25,"31\t1,932\t2,046"
Contract liabilities\t18\t2,883\t1,784
Current provisions\t19\t356\t270,,
Current income tax liabilities\t5\t468\t374,,
Other current liabilities\t20\t2,016\t1,198
Total current liabilities\t\t10,065\t7,289
Long-term financial debt\t16, 25\t457\t314,
Provisions for pensions and similar obligations\t21\t908\t1,029,
Deferred tax liabilities\t5\t2,082\t470,
Provisions\t19\t150\t144,,
Other financial liabilities\t25\t19\t10,,
Other liabilities\t22\t435\t345,,
Liabilities to the Siemens Group\t16, 25,"31\t11,708\t2,982"
Total non-current liabilities\t\t15,758\t5,294
Total liabilities\t\t25,823\t12,584
Issued capital\t\t1,128\t1,075
Capital reserve\t\t15,818\t13,476
Retained earnings\t\t-300\t-1,276,
Other components of equity\t\t-85\t-741,,
Treasury shares\t\t-240\t-36,,
Total equity attributable to shareholders of Siemens Healthineers AG\t23\t16,321\t12,498
Non-controlling interests\t\t18\t13,,
Total equity\t\t16,339\t12,511
Total liabilities and equity\t\t42,162\t25,094
