Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,,,,,,,,
Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Tranche 2021Plan design I Plan design I,Plan design I,Plan design I,Plan design I,Plan design I,Plan design I,Plan design I,Plan design I,
Performance condition,TSR target ESG target,TSR target ESG target,TSR target ESG target,TSR target ESG target,TSR target ESG target,TSR target ESG target,n.a.,,,,,,,,,
Target attainment,0-200%,0-200%,0-200%,0-200%,0-200%,0-200%,n.a.,,,,,,,,,
Restriction period,About 4years,About 4years,About 4years,About 4years,About 4years,About 4years,About 1 to about 4 years,,,,,,,,,
Beneficiaries,"Members of the Managing Board,eligible members ofsenior managementand other eligible employees","Members of the Managing Board,eligible members ofsenior managementand other eligible employees","Members of the Managing Board,eligible members ofsenior managementand other eligible employees","Members of the Managing Board,eligible members ofsenior managementand other eligible employees","Members of the Managing Board,eligible members ofsenior managementand other eligible employees","Members of the Managing Board,eligible members ofsenior managementand other eligible employees",Members of senior managementand other eligible employees,,,,,,,,,
Classification,Equity-settled share-based payment,Equity-settled share-based payment,Equity-settled share-based payment,Equity-settled share-based payment,Equity-settled share-based payment,Equity-settled share-based payment,,,,,,,,,,
Number of granted stock awards,,"458,4331","458,4331","458,4331","458,4331","458,4331","1,021,068",,,,,,,,,
Fair Value at the grant date,,€10 million,€10 million,€10 million,€10 million,€10 million,€36million,,,,,,,,,
Determination of the fair value,Valuat,Valuation model Share price less present value ofexpected dividends,Valuation model Share price less present value ofexpected dividends,Valuation model Share price less present value ofexpected dividends,Valuation model Share price less present value ofexpected dividends,Valuation model Share price less present value ofexpected dividends,Share price less present value ofexpected dividends,,,,,,,,,
,,Valuation model Share price less present value ofexpected dividends,Valuation model Share price less present value ofexpected dividends,Valuation model Share price less present value ofexpected dividends,Valuation model Share price less present value ofexpected dividends,Valuation model Share price less present value ofexpected dividends,Share price less present value ofexpected dividends,,,,,,,,,
,,Members of senior,Members of seniorMembers of management,Members of seniorMembers of management,Members of seniorMembers of management,Members of seniorMembers of management,,Members of senior managementand other eligible employees,,,,,,,,
,Members of,management,Members of seniorMembers of management,Members of seniorMembers of management,Members of seniorMembers of management,Members of seniorMembers of management,,Members of senior managementand other eligible employees,,,,,,,,
Inputs to the valuation model for,the Managing,and other eligible,the Managing and other eligible,the Managing and other eligible,the Managing and other eligible,the Managing and other eligible,,Members of senior managementand other eligible employees,,,,,,,,
the following beneficiaries,Board,employees,Board employees,Board employees,Board employees,Board employees,,Members of senior managementand other eligible employees,,,,,,,,
Expected weighted volatility ofSiemens Healthineers AG share ²,26.97%,27.04%,n.a. n.a.,n.a. n.a.,n.a. n.a.,n.a. n.a.,n.a.,,,,,,,,,
Share price perSiemens Healthineers AG share,€40.37,€37.55,€40.37,€40.37,€40.37,€37.55,€37.55,,,,,,,,,
Expected dividend yield,1.98%,2.13%,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,
Risk-free interest rate,-0.51%,-0.49%,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,
