Number of meetings/participation in %,Supervisory Board (plenary meetings),Chairman's Committee,Audit Committee,Innovation and Finance Committee,Related-Party Transactions Committee
Prof. Dr. Ralf P. Thomas Chairman,7/7 100,10/10 100,6/6 100,4/4 100,
Dr. Norbert Gaus Deputy Chairman,7/7 100,10/10 100,4/4 100,,
Dr. Roland Busch,7/7 100,4/4 100,,,
Dr. Marion Helmes,7/7 100,,6/6 100,1/1 100,
Dr. Andreas C. Hoffmann,7/7 100,10/10 100,6/6 100,1/1 100,
Dr. Philipp Rösler,7/7 100,,,,
"Peer M. Schatz (since March 23, 2021)",3/3 100,,,2/2 100,
Dr. Nathalie von Siemens,7/7 100,,,,4/4 100
Dr. Gregory Sorensen,7/7 100,,4/4 100,1/1 100,
Karl-Heinz Streibich,7/7 100,,4/4 100,,
100,100,100,100,100,100
