(in millions of €),,,,Order-,,,Total,
(in millions of €),,,,related,,,Total,
(in millions of €),Warranties,Warranties,Warranties,losses and,,,Total,
(in millions of €),Warranties,Warranties,Warranties,nties,risks,Other,Other,
Balance at beginningof fiscal year 2021,,,211,80,123,123,Total,414
Therein:Non-current,24,24,24,56,64,64,144,
Additions,197,197,197,2,39,39,238,
Usage,-139,-139,-139,-4,-30,-30,-172,
Reversals,-35,-35,-35,-16,-28,-28,-78,
Currency translationdifferences,,,,,,,9,
Currency translationdifferences,3,3,3,3,3,3,9,
Other,30,30,30,1,66,66,96,
Balance at endof fiscal year 2021,268,268,268,65,173,173,506,
Therein:Non-current,25,25,25,46,79,79,150,
