,,,Other components of equity Reserve of equity in-,Other components of equity Reserve of equity in-,Other components of equity Reserve of equity in-,Other components of equity Reserve of equity in-,Other components of equity Reserve of equity in-,,Total,,,,
(in millions of €),Issued capital,Capital reserve,Retained translation earnings differences,struments measured at fair value through Currency other com- prehensive income,struments measured at fair value through Currency other com- prehensive income,struments measured at fair value through Currency other com- prehensive income,struments measured at fair value through Currency other com- prehensive income,struments measured at fair value through Currency other com- prehensive income,equity at- Treasury shares Healthi- at cost neers AG,tributable to share- holdersof Siemens controlling,Non-,,
Balance as of,,,,,,,,,,,,,
"October 1,2019","October 1,2019","October 1,2019","October 1,2019","October 1,2019","October 1,2019","October 1,2019","October 1,2019","October 1,2019","October 1,2019","9,769",,13,"9,782"
Net income,"1,000","10,801","-1,859 1,411",-95,-33,,-24,3,-24,"1,411",12,"1,423",
Other comprehensive,Other comprehensive,Other comprehensive,Other comprehensive,Other comprehensive,Other comprehensive,Other comprehensive,Other comprehensive,Other comprehensive,Other comprehensive,,,,
"income,net of taxes",,,-5,-767,,61,114,,-597,-1,-598,,
Dividends,,,-798,,,,,,-798,-16,-814,,
Share-based payment,,45,,,,,,,45,,45,,
Purchase of treasury shares,,,,,,,,-64,-64,,-64,,
Reissuance of treasury shares,,2,-1,,,,,52,52,,52,,
Issuance of new shares,75,"2,629",1,,,,,,"2,704",,"2,704",,
Other changes in equity,,,-24,,,,,,-24,5,-19,,
Balance as of,Balance as of,Balance as of,Balance as of,Balance as of,Balance as of,Balance as of,Balance as of,Balance as of,Balance as of,,,,
"September30,2020","1,075","13,476","-1,276",-862,-33,37,117,-36,"12,498",13,"12,511",,
Balance as of,"1,075","13,476","-1,276",-862,-33,37,117,-36,"12,498",,"12,511",,
"October 1,2020","October 1,2020","October 1,2020","October 1,2020","October 1,2020","October 1,2020","October 1,2020","October 1,2020","October 1,2020","October 1,2020",13,,,
Net income,,,"1,727",,,一,一,,"1,727",18,"1,746",,
"Other comprehensive income, net of taxes",,,154,720,4,-154,-28,,696,4,700,,
Dividends,,一,-856,一,一,,一,,-856,-17,-874,,
Share-based payment,,60,,,,,,,60,,60,,
Purchase of treasury,Purchase of treasury,Purchase of treasury,Purchase of treasury,Purchase of treasury,Purchase of treasury,Purchase of treasury,Purchase of treasury,Purchase of treasury,Purchase of treasury,,,,
shares,,,,,,,,-266,-266,,-266,,
Reissuance of treasury shares,,7,,,,,,62,68,,68,,
Issuance of new shares,53,"2,275",1,,,一,一,一,"2,328",,"2,328",,
Other changes in equity,Other changes in equity,Other changes in equity,Other changes in equity,Other changes in equity,Other changes in equity,Other changes in equity,Other changes in equity,Other changes in equity,Other changes in equity,,,,
Balance as of,,,-48,,,114,,,66,,66,,
"September 30,2021","1,128","15,818",-300,-142,-29,-3,89,-240,"16,321",18,"16,339",,
