"Equity interestSept 30,2021 in%","Equity interestSept 30,2021 in%"
"Varian Medical Systems Geselschaft mbH,Brunn am Gebirge/Austria",100
"Varian Medical Systems Hungary Kft.,Budapest/Hungary",100
"Varian Medical Systems Iberica SL,Alcobendas/Spain",100
"Varian Medical Systems Imaging Laboratory G.m.b.H.,Dattwil/Switzerland",100
"Varian Medical Systems International AG,Steinhausen/Switzerland",100
"Varian Medical Systems Italy SpA,Segrate/Italy",100
"Varian Medical Systems Mauritius Ltd.,Ebene/Mauritius",100
"Varian Medical Systems Nederland B.V.,Houten/Netherlands",100
"Varian Medical Systems Nederland Finance B.V.,Houten/Netherlands",100
"Varian Medical Systems Poland Sp.Z0.0.,Warsaw/Poland",100
"Varian Medical Systems Scandinavia AS,Herlev/Denmark",100
"Varian Medical Systems UK Holdings Limited,Crawley, West Sussex/United Kingdom",100
"Varian Medical Systems UK Limited,Crawley, WestSussex/Unitedingdom",100
"Varinak Bulgaria EOOD,Sofia/Bulgaria",100
"Varinak Europe SRL (Romania),Pantelimon/Romania",100
"VMS Kenya,Ltd,Nrobi/Kenya",100
Americas (46 companies),
"Acuson,LC,Wilmington,DE/Unitedtate",1005
"Corindus,Inc.,Wilmington,DE/Unitedates",100
"D3 Oncology Inc., Wilmington, DE/United States",100
"Dade Behring Hong Kong Holdings Corporation,Tortola/British Virgin Islands",100
"Dedicated2lmaging LLC, Wilmington,DE/United States",80
"ECG Acquisition,Inc., Wilmington,DE/United States",100
"ECG TopCo Holdings,LLC,Wilmington,DE/United States",73
"EPOCAL INC.,Toronto/Canada",100
"Executive Consulting Group,LLC,Wilmington,DE/UnitedState",100
"J. Restrepo Equiphos S.A.S,Bogota/Colombia",100
"Mansfield Insurance Company,Burlington,VT/UnitedStates",100
"Monarch Capital,Limited,Grand Cayman/Cayman Islands",100
