"Location of non-currentassetsSept30,(in millions of €) 2021 2020","Location of non-currentassetsSept30,(in millions of €) 2021 2020","Location of non-currentassetsSept30,(in millions of €) 2021 2020",,
"Location of non-currentassetsSept30,(in millions of €) 2021 2020","Location of non-currentassetsSept30,(in millions of €) 2021 2020","Location of non-currentassetsSept30,(in millions of €) 2021 2020",2021,2020
"Europe,C.I.S.,Africa,Middle East (EMEA)","11,407","4,193",,
Americas,"15,708","8,270",,
"Asia,Australia","2,321","1,260",,
Total,"29,436","13,724",,
Thereof:,,,,
Germany,"2,212","1,880",,
Foreign countries,"27,224","11,844",,
Therein:,,,,
United States,"15,313","7,920",,
