Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Non-cash changes,Non-cash changes,Non-cash changes,,,,,
Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance at,,Effects fromchanges,Effects fromchanges,Effects fromchanges,,,
Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,beginning,Cash flows,changes,changes,,Balance at,,
Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,fiscal year,financing,Acquisi- exchangeFair valuetions rates changes Other³,Acquisi- exchangeFair valuetions rates changes Other³,Acquisi- exchangeFair valuetions rates changes Other³,Acquisi- exchange,Fair value,
Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,fiscal year,financing,Acquisi- exchangeFair valuetions rates changes Other³,Acquisi- exchangeFair valuetions rates changes Other³,Acquisi- exchangeFair valuetions rates changes Other³,Acquisi- exchange,Fair value,end offiscal year2020
Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,Balance atbeginning Cash flowsof fromfiscal year financing(in millions of €) 20201 activities2,20201,activities2,Acquisi- exchangeFair valuetions rates changes Other³,Acquisi- exchangeFair valuetions rates changes Other³,Acquisi- exchangeFair valuetions rates changes Other³,,,
Loans from banks,109,19,142 -20 -142,142 -20 -142,142 -20 -142,109,,,,
Lease liabilities,470,-152,15 -23 148,15 -23 148,15 -23 148,458,,,,
Current and non-current liabilities to the Siemens Group fromfinancing activities 4,"4,390",777,1 -285 54,1 -285 54,1 -285 54,"4,936",,,,
Total financial debt,"4,969",645,157 -328 1 60,157 -328 1 60,157 -328 1 60,"5,503",,,,
Market value of forwards for hedging of foreign currency liabilitiesfrom financing activities,-107,,一 14 1,一 14 1,一 14 1,-92,,,,
Current receivables from the Siemens Group fromfinancing activities,-683,"-2,599",1 11 1,1 11 1,1 11 1,"-3,271",,,,
Total liabilities from financingactivities,"4,179","-1,954",157 -317 14 61,157 -317 14 61,157 -317 14 61,"2,141",,,,
