"Sept 30,",2021,2020
in millions of €,Short-term financial debt and current maturities of long-term financial debt,"225,167"
Thereof:,,
Loans from banks,"73,60",
Lease liabilities,"152,107",
Current liabilities to the Siemens Group from financing activities,"1,926","2,040"
Therein: Lease liabilities,24,27
Total current financial debt,"2,150","2,207"
Long-term financial debt,457,314
Thereof:,,
Loans from banks,"19,49",
Lease liabilities,"438,265",
Liabilities to the Siemens Group from financing activities,"11,708","2,982"
Therein: Lease liabilities,47,59
Total non-current financial debt,"12,164","3,297"
Total financial debt,"14,315","5,503"
