(in millions of €),,,
Issued capital Capital reserve Retained earnings Currency translation differences Reserve of equity instruments measured at fair value through other comprehensive income Cash flow hedges reserve Cost of hedging reserve Treasury shares at cost Total equity attributable to shareholders of Siemens Healthineers AG Non-controlling interests Total equity,,,
"Balance as of October 1, 2019 1,000 10,801 −1,859 −95 −33 −24 3 −24","9,769",13,"9,782"
"Net income − − 1,411 − − − − − −",,,"1,423"
"Other comprehensive income, net of taxes − − −5 −767 − − 61 114 − −597 −1 −598",,,
Dividends − − −798 − − − − − − −798 −16 −814,,,
Share-based payment − 45 − − − − − − − 45 − −,,,45
Purchase of treasury shares − − − − − − − − −64 −64 − − −64,,,
Reissuance of treasury shares − − 2 −1 − − − − 52 52 − −,,,52
"Issuance of new shares 75 2,629 − − − − − − 2,704 − −",,,"2,704"
Other changes in equity − − −24 − − − − − − −24 5 −19,,,
"Balance as of September 30, 2020 1,075 13,476 −1,276 −862 −33 37 117 −36","12,498",13,"12,511"
"Balance as of October 1, 2020 1,075 13,476 −1,276 −862 −33 37 117 −36","12,498",13,"12,511"
"Net income − − 1,727 − − − − − −","1,727",18,"1,746"
"Other comprehensive income, net of taxes − − 154 720 4 −154 −28 − −",696,4,700
Dividends − − −856 − − − − − − −856 −17 −874,,,
Share-based payment − 60 − − − − − − 60 − −,,,60
Purchase of treasury shares − − − − − − − − −266 −266 − − −266,,,
Reissuance of treasury shares − 7 − − − − − − 62 68 − −,,,68
"Issuance of new shares 53 2,275 − − − − − − 2,328 − −",,,"2,328"
Other changes in equity − − −48 − − 114 − − 66 − −,,,66
"Balance as of September 30, 2021 1,128 15,818 −300 −142 −29 −3 89 −240","16,321",18,"16,339"
