Name,Occupation,Year of birth,Member since,German positions,Positions outside Germany
Prof. Dr. Ralf P. Thomas Chairman,Member of the Managing Board of Siemens Aktiengesellschaft (Chief Financial Officer),1961,2018,Siemens Energy AG,Siemens Energy Management GmbH
Dr. Norbert Gaus Deputy Chairman,Executive Vice President Corporate Technology of Siemens Aktiengesellschaft,1961,2018,Siemens Healthcare GmbH,"Siemens Proprietary Ltd., South Africa"
Dr. Roland Busch,President and Chief Executive Officer of Siemens Aktiengesellschaft,1964,2020,Siemens Mobility GmbH (Chair),
Dr. Marion Helmes,Supervisory board member,1965,2018,ProSiebenSat.1 Media SE (Deputy Chair),"British American Tobacco p.l.c., United Kingdom"
Dr. Andreas C. Hoffmann,General Counsel of Siemens Aktiengesellschaft,1964,2018,Siemens Healthcare GmbH,"Siemens Ltd., China"
Dr. Philipp Rösler,Supervisory board member,1973,2018,Brainloop AG,"Fortum Corporation, Finland"
"Peer M. Schatz (since March 23, 2021)",Managing Director of PS Capital Management GmbH,1965,2021,Resolve BioSciences GmbH (Chair),"CENTOGENE N.V., The Netherlands (Chair)"
Dr. Nathalie von Siemens,Supervisory board member,1971,2018,Messer Group GmbH,Siemens Aktiengesellschaft
Dr. Gregory Sorensen,"Founder and CEO of DeepHealth, Inc. (artificial intelligence division of RadNet, Inc.) and Executive Chairman of IMRIS (Deerfield Imaging, Inc.)",1962,2018,Fresenius Medical Care AG & Co. KGaA,"DFP Healthcare Acquisitions Corp., USA"
Karl-Heinz Streibich,President of acatech – Deutsche Akademie der Technikwissenschaften,1952,2018,Deutsche Telekom AG,Münchener Rückversicherungs-Gesellschaft AG
,Memberships in supervisory boards whose establishment is required by law or in comparable domestic or foreign controlling bodies of business enterprises,"as of September 30, 2021",,German positions,Positions outside Germany
