Tranche 2020,Plan design I,Plan design II
development of the total shareholder return in comparison to competitors (TSR),n. a.,n. a.
0–200%,n. a.,n. a.
About 4 years,About 1 to about 4 years,
"Members of the Managing Board, eligible members of senior management and other eligible employees",Members of senior management and other eligible employees,
Equity-settled share-based payment,354,"955^1,784.924,"
€8 million,€32 million,
Valuation model,Share price less present value of expected dividends,
Members of the Managing Board,Members of senior management and other eligible employees,Members of senior management and other eligible employees
21.28%,21.36%,n. a.
€42.59,€43.50,€43.50
1.88%,1.84%,n. a.
−0.27%,−0.27%,n. a.
