"Sept 30,2021",Equity interestin %
Subsidiaries,
Germany (22 companies),
"Acuson GmbH, Erlangen",1005
"BEFUND24 GmbH,Erlngen",85
"Dade Behring Grundstucks GmbH,Kemnath",94
"NEO New Oncology GmbH,Cologne",100
"Siemens Healthcare Diagnostics Products GmbH,Marburg",100'
"Siemens Healthcare GmbH, Munich",100
"Siemens Healthineers Beteiligungen GmbH & Co. KG,Rottenbach",100
"Siemens Healthineers BeteiligungenVerwaltungs-GmbH, Rottenbach",1005
"Siemens Healthineers Holding I GmbH,Munich",100
"Siemens Healthineers Holding I GmbH, Munich",1005
"Siemens Healthineers Innovation GmbH & Co. KG,Rottenbach",100
"Siemens Healthineers InnovationVerwaltungs-GmbH, Rottenbach",1005
"Siemens Medical Solutions Health Services GmbH,Grunwald",100
"Siemens Real Estate GmbH& Co.KG, Kemnath",948
"Siemens Real Estate Management GmbH, Kemnath",1005
"Varian Medical Systems Deutschland GmbH & Co. KG,Darmstadt",100
"Varian Medical Systems Haan GmbH, Haan",100
"Varian Medical Systems München GmbH, Munich",1007.9
"Varian Medical Systems ParticleTherapy GmbH&Co.KG,Troisdorf",1008.9
"VMS Deutschland Holdings GmbH, Darmstadt",100
"Zeleni Holding GmbH, Kemnath",100
"Zeleni Real Estate GmbH& Co.KG, Kemnath",100
"Europe, C.l.S.,Africa,Middle East (EMEA)(without Germany)(81 companies)",
"Acuson Denmark S/A,Ballerup/Denmark",1005
"Acuson France SAS,Saint-Denis/France",1005
"Acuson ItalyS.r.l,Milantaly",1005
"Acuson RUS Limited Liability Company,Moscow/Russian Federation",1005
"Acuson Slovakia s.r.o., Bratislava/Slovakia",1005
"Acuson United Kingdom Ltd.,Frimley,Surrey/Unitedingdom",1005
"Acuson United Kingdom Ltd.,Frimley,Surrey/Unitedingdom",
