(in millions of €),"Sept30,","Sept30,"
(in millions of €),2021,2020
Total segments'assets,"29,640","14,158"
Asset-based adjustments,"4,551","5,770"
Therein:,,
Assets corporate treasury,"1,408",739
Assets Siemens Healthineers Real Estate,"1,402",945
Receivables from the Siemens Group fromnon-operating activities,708,"3,387"
Current income tax assets anddeferred taxassets,537,468
Liability-based adjustments,"7,971","5,167"
Total reconciliation toconsolidated financial statements,"12,522","10,936"
Siemens Healthineers'total assets,"42,162","25,094"
